	gram_1	gram_2	gram_3	Freq
258	van	knippenberg	relational	3
259	state	university	ohio	4
260	readiness	level	combination	3
261	study	multifactor	leadership	10
262	organizational	climate	innovation	3
263	directive	leadership	school##staff	3
264	explicit	trait_approach	difference	30
265	ontology	raise	question	3
266	effective	leadership	process	3
267	approach	relationship	mean	3
268	change	larger	socioeconomic	3
269	interest	value	interest	3
270	include	proportion	landholder	4
271	bond	job	organization	3
272	staff	personnel	base	4
273	social	change	process	9
274	work	develop	promote	4
275	stress	positivity	group	3
276	mediate	role	relationship	6
277	follower	affect	stage	3
278	control	reward	spatial	4
279	work	unit	effectiveness_level	14
280	team	member	vertical_dyad_linkage_theory	12
281	high##characteristic	relationship	leader##follower	3
282	service	organization	transform	5
283	organization	bring	people	3
284	engender	follower	trust	3
285	field	leadership	theory	3
286	develop	high##characteristic	relationship	7
287	empirical	study	examine	14
288	influence	individual	perceive	4
289	leader##member##member	exchange	theory	12
290	interpersonal	model	individual	3
291	charismatic_leadership_theory	leader	institute	4
292	paradigm	focus	single	4
293	trait	gender	style	4
294	organizational	participant	work	3
295	study	critical	discourse	3
296	relate	leadership	behavior	4
297	possibility	reverse	causality	3
298	follower	organizational	citizenship	3
299	study	relationship	vertical_dyad_linkage_theory	3
300	perception	leader	status	3
301	hersey##blanchard_situational_leadership_model	brown	levinsons	3
302	describe	effective	leadership	4
303	leadership	relationship	occur	8
304	strong	human	resource	3
305	theory	translate	tangible	3
306	leadership	understand	role	3
307	property	entity	individual	3
308	respect	trust	obligation	3
309	individual	like	people	3
310	principle	relation	organizational	3
311	leadership	intellectual	stimulation	4
312	people	give	mean	3
313	relationship	development	process	8
314	term	methodology	relational	3
315	define	leadership	hold	4
316	constructive	ongoing	process	3
317	extent	follower	identify	3
318	national	culture	leadership	6
319	confidence	subordinate	attain	3
320	leadership	emphasize	interpersonal	3
321	view	leadership	style	3
322	characteristic	leader	trait	4
323	leadership	theory	relational	3
324	less	job	satisfaction	4
325	result	way	conceptualize	3
326	function	group	member	3
327	satisfaction	work	performance	4
328	bass	multifactor	leadership	3
329	mechanism	organizational	commitment	6
330	theory	x##theory	y	12
331	reality	leadership	interpret	3
332	nurse	job	dissatisfaction	3
333	degree	closeness	centrality	3
334	vertical_dyad_linkage_theory	variation	negative	3
335	postulate	charismatic_leadership_theory	leader	3
336	resource	depletion	antecedent	4
337	value	identity	emotion	3
338	personal	risk	sacrifice	3
339	leader	trait	relate	5
340	trust	team	member	3
341	result	individual	action	3
342	leader	identification	follower	3
343	measure	emotional	intelligence	5
344	explore	individual	possess	3
345	encourage	innovative	think	5
346	explore	possibility	reciprocal	3
347	department	partner	advocate	3
348	leader	essential	point	3
349	follower	identification	leader	6
350	leadership	small	group	7
351	support	innovation	organizational	4
352	messy	social	process	3
353	exist	leader	consider	3
354	phenomena	true	interaction	3
355	current	literature	leadership	3
356	leadership	practice	inventory	21
357	leader	contingent	punishment	4
358	interpersonal	level	relational	3
359	influence	employee	affective	8
360	resource	planning	knowledge	7
361	approach	view	leadership	10
362	test	transformational_leadership_theory	theory	3
363	scale	item	measure	3
364	characteristic	quantity	follower	3
365	role	network	play	3
366	inspirational	motivation	individualize	3
367	follow	structuration	theory	3
368	authentic	leader	authentic_leadership_theory	9
369	provide	richer	insight	3
370	nature	assume	individual	3
371	leader	behavior	produce	4
372	characteristic	dyad	innovative	3
373	account	social	force	5
374	leader	behavior	questionnaire	4
375	leadership	relationship	produce	4
376	leadership	style	include	9
377	need	fulfillment	mediate	6
378	study	attempt	extend	3
379	relationship	condition	acceptance	3
380	perception	cognition	individual	3
381	exchange	sequence	series	3
382	fair	leader	treat	3
383	characteristic	leader##follower	bring	3
384	approach	study	static	3
385	leadership	literature	focus	7
386	organizational	performance	finding	3
387	favorable	situation	octant	3
388	ba	knowledge	asset	5
389	provide	empirical	support	5
390	readiness	level	follower	3
391	relation	contexts	see	3
392	safety	climate	relationship	3
393	review	literature	leadership	8
394	leadership	process	involve	4
395	true	variant	relational	3
396	advance	leadership	theory	5
397	rich	discourse	analysis	3
398	son	heir	apparent	4
399	internal	team	environment	3
400	leader##follower	identify	leader	3
401	consideration	contingent	reward	7
402	exhibit	individualize	consideration	4
403	behavior	reflect	ability	3
404	organizational	leadership	charismatic_leadership_theory	5
405	transformational	leader	motivate	18
406	leadership	style	man	7
407	prefer	co##worker	prefer	6
408	point	out	woman	3
409	mutual	stimulation	elevation	3
410	leadership	influence	relationship	12
411	map	network	interconnection	3
412	perception	relational	characteristic	3
413	efect	leadership	style	5
414	cognition	aesthetics	serve	3
415	definition	leadership	definition	3
416	process	condition	relation	3
417	action	individual	think	3
418	approach	highlight	process	3
419	reveal	action	science	3
420	term	short	term	4
421	leader	transmit	value	4
422	generate	image	organization	3
423	job	satisfaction	job	5
424	sociocultural	contexts	apply	3
425	charismatic_leadership_theory	leader	achieve	8
426	secondary	embedding	mechanism	4
427	justice	procedural	justice	3
428	positive	negative	aspect	3
429	process	social	system	6
430	emotion	explore	suggest	3
431	transformational	transactional_transformational_leadership_model	organizational_outcome	4
432	inequality	influence	leader	3
433	generation	application	behaviour	3
434	performance	individual	performance	4
435	leadership	effectiveness_level	leader	17
436	knowledge	study	test	3
437	entire	supply	chain	3
438	satisfaction	task	satisfaction	5
439	individual	user	disseminate	6
440	change	result	coordinate	3
441	identification	emergent	state	3
442	leadership	follower	performance	7
443	research	program	program	3
444	individual	task	condition	5
445	leadership	process	social	10
446	approximate	relational	entity	3
447	intent	leave	job	4
448	framework	group	member	3
449	explanation	leadership	phenomena	3
450	state	university	university	8
451	enactment	follower	work	3
452	play	key	human	3
453	autocratic	leadership	time	5
454	approach	trait	approach	3
455	extend	vertical_dyad_linkage_theory	dyad	3
456	differentiate	dyadic	relationship	5
457	power	commodity	concentrate	3
458	create	building	weierter	3
459	institutional	position	function	3
460	strong	positive	organizational_outcome	3
461	situational	moderator	organizational_outcome	3
462	operate	higher	level	3
463	characteristic	outcome	leader	5
464	reward	good	performance	5
465	aspect	social	perception	3
466	inspirational	motivation	intellectual	25
467	approach	ground	theory	3
468	charismatic_leadership_theory	leader	empower	5
469	satisfaction	community	focus	3
470	leadership	middle	place	3
471	self##worth	feeling	behave	3
472	consider	likelihood	standpoint	3
473	leader	develop	maintain	3
474	role	sender	expectation	5
475	organizational	leadership	literature	4
476	degree	job	autonomy	4
477	influence	follower	development	3
478	intellectual	stimulation	seek	3
479	level_five_leadership_model	charismatic_leadership_theory	compound	9
480	assessment	reaction	exchange	3
481	relational	understanding	methodology	3
482	group	member	perceive	7
483	compositional	unit##level	property	5
484	upper	echelon	approach	3
485	peer	generate	basis	3
486	render	mutual	benefit	3
487	mumford	van	doorn	4
488	moment	moment	conduct	3
489	relationship	partnership	result	3
490	construct	accumulate	store	3
491	role	conflict	define	3
492	satisfaction	organizational	citizenship	6
493	further	study	examine	3
494	relation	focus	communication	3
495	visionary	leadership	theory	3
496	frequency	identification##enable	supply	12
497	result	report	podsako	3
498	higher	task	performance	3
499	concept	leadership	ritter	3
500	work	behavior	psychological	3
501	privileged	ontology	section	3
502	behavior	influence	follower	4
503	leadership	variable	regard	3
504	produce	unfold	involve	3
505	organization	multiple	influence	3
506	leadership	influence	demonstrate	3
507	argue	need	understand	3
508	many	study	conduct	4
509	member	high##salience	group	3
510	leader	ability	elicit	3
511	follower	self##concept	approach	4
512	combine	effort	engage	3
513	theory	organizational	culture	5
514	charismatic_leadership_theory	provide	framework	3
515	structure	leadership	employee	4
516	charismatic_leadership_theory	leader	negation	3
517	organizational	performance	empirical	3
518	positive	relationship	transformational_leadership_theory	16
519	triad	predicate	content	3
520	view	structure	model	3
521	initiate	structure	describe	3
522	approach	counter	attempt	3
523	linkage	theory	vertical_dyad_linkage_theory	3
524	select	decision	style	3
525	transformational	leader	operate	3
526	follower	high##characteristic	relationship	4
527	relationship	leader	trait	11
528	include	party	process	3
529	movement	fade	way	3
530	subordinate	peer	superior	5
531	leadership	style	common	4
532	leadership	questionnaire	survey	4
533	focus	leadership	behavior	4
534	leader	influence	ethical	5
535	leader	develop	relationship	9
536	leader	define	task	3
537	possibility	consider	relationship##oriented	3
538	socialize	charismatic_leadership_theory	leader	82
539	interpersonal	relationship	relational	3
540	role	man	woman	3
541	require	effective	leadership	5
542	vertical_dyad_linkage_theory	vertical_dyad_linkage_theory	transformational_leadership_theory	4
543	assume	relational	ontology	3
544	point	out	leadership	4
545	passive	leadership	transactional	4
546	difference	play	role	3
547	justice	distributive	justice	7
548	subject	object	understanding	6
549	model	expectation	enactment	3
550	manager##subordinate	relationship	informal	3
551	charismatic_leadership_theory	charismatic_leadership_theory	leader	8
552	management	leadership	performance	7
553	attitudinal	behavioural	reaction	3
554	relationship	prefer	co##worker	3
555	support	trust	non##autocratic	3
556	set	crossover	point	3
557	tie	weak	tie	4
558	require	transformational	leader	3
559	relational	approach	sayles	3
560	relation	need	closure	4
561	demonstrate	concern	follower	3
562	safety	related	behavior	16
563	play	role	development	3
564	leadership	set	moment	3
565	leader	authentic_leadership_theory	authentic_leadership_theory	6
566	complex	system	leadership	6
567	employee	organizational	commitment	6
568	influence	subordinate	response	3
569	theory	leadership	attempt	3
570	leader	internal	external	3
571	yield	result	output	3
572	charismatic_leadership_theory	organizational_outcome	follower	6
573	process	true	expand	3
574	martin	luther	king	5
575	situational_contingency_theory	leader##follower	need	3
576	vugt	de	cremer	3
577	leader	investigate	relationship##oriented	3
578	assess	moderator	variable	4
579	motivational	mechanism	organizational	4
580	set	high	expectation	4
581	need	understand	context	3
582	perceive	consistent	contribution	3
583	leadership	observer	construct	3
584	need	account	leadership	3
585	high	voluntary	turnover	3
586	manager	implicit	profile	4
587	comprise	value	attitude	5
588	leadership	emotional	intelligence	5
589	relationship	follower##leader	activate	3
590	library	organizational	development	4
591	social	construct	mean	3
592	network	social	relationship	3
593	extent	human	resource	3
594	substantial	portion	variance	3
595	strong	ethical	culture	4
596	act	local	cultural	3
597	review	relationship##oriented	study	3
598	organizational_outcome	leader	trait	3
599	express	greater	number	3
600	variable	embed	status	3
601	practice	relational	phenomena	3
602	knowledge	asset	knowledge	3
603	center	individual	perception	3
604	understanding	leadership	school	4
605	practical	implication	leader	3
606	core	variable	basic	3
607	complex	understanding	causality	3
608	department	chairperson	hold	3
609	work	dimension	nurse	3
610	integrate	leadership	organizational	3
611	include	level##analysis	framework	3
612	leadership	organizing	review	3
613	transactional	exchange	social	3
614	five	transformational_leadership_theory	factor	3
615	interactive	organizational_outcome	functional	5
616	group	member	satisfaction	10
617	organizational	change	project	4
618	coach	leadership	behavior	9
619	characteristic	differentiate	leader	5
620	autocratic	democratic	leadership	6
621	display	entire	work	3
622	leadership	behavior	integrate	5
623	decision	tree	technique	5
624	leadership	model	purpose	3
625	leader	create	environment	4
626	behavior	transformational_leadership_theory	vertical_dyad_linkage_theory	3
627	leadership	safety	behaviour	3
628	articulate	characteristic	science	3
629	speak	language	relate	3
630	leader	abdicate	responsibility	3
631	team	leadership	team	6
632	participate	decision##make	process	3
633	daily	interaction	model	3
634	prefer	co##worker	measure	3
635	local	group	norm	3
636	human	resource	human	3
637	gender	difference	perception	3
638	leader	influence	attempt	7
639	behavior	focus	develop	3
640	development	authentic	leader	3
641	achieve	full	potential	3
642	leadership	relationship	collaborator	3
643	relationship	view	person	3
644	leadership	leadership	theory	4
645	empirical	support	notion	4
646	historical	social	coordinate	3
647	issue	need	explore	3
648	model	relationship	leadership	3
649	present	study	apply	3
650	centralize	political	power	4
651	variable	situational	variable	5
652	participant	observer	entity	3
653	context	influence	development	3
654	influence	employee	safety	7
655	structure	influence	relationship	3
656	second	leadership	style	3
657	entity	consider	subject	3
658	leader	receive	value	4
659	behavior	discretionary	recognize	3
660	confirmatory	factor	analysis	23
661	reward	achievement	organizational_outcome	3
662	mechanism	individual	trait	4
663	study	positive	correlation	3
664	existence	leader	transference	3
665	social	identity	concern	3
666	leadership	role	model	9
667	leadership	effectiveness_level	interpersonal	4
668	developmental	level	match	3
669	researcher	area	leadership	3
670	leadership	organizational	science	3
671	lean	production	system	4
672	information	communication	technology	6
673	balance	reciprocity	relationship	3
674	value	characteristic	management	3
675	i	turn	discussion	5
676	conscientiousness	extroversion	agreeableness	3
677	attitude	organizational_outcome	approach	3
678	relationship##oriented	framework	discuss	3
679	relational	dimension	leadership	4
680	leadership	theorist	supervisor	4
681	direction	future	research	6
682	self##efficacy	mediator	relationship	3
683	process	combine	approach	3
684	affective	commitment	future	3
685	veri	sustainable	performance	3
686	ability	willingness	accomplish	3
687	post	world	war	6
688	capital	structural	patterning	3
689	provide	follower	appropriate	4
690	leadership	model	address	3
691	paradigm	shift	occur	3
692	partner	third	theme	3
693	positive	relationship	contingent	5
694	labor	union	company	3
695	theory	leadership	approach	4
696	contents	employee	motivation	3
697	social	comparison	theory	3
698	predict	work	related	3
699	permit	detailed	discussion	3
700	leader	behavior	predict	7
701	turn	increase	follower	3
702	type	connection	bond	3
703	high	ability	high	3
704	measure	degree	agreement	3
705	real	construct	relational##historical	3
706	leadership	supervisory	leadership	3
707	intentional	hosking	describe	3
708	variable	leadership	process	6
709	leadership	number	study	3
710	examine	relationship	leadership	6
711	positive	encourage	message	4
712	examine	situational_contingency_theory	prediction	5
713	group	decision	support	40
714	job	satisfaction	study	5
715	question	trait	distinguish	3
716	experience	voyage	time	3
717	relationship	leader	stress##be	3
718	managerial	position	term	3
719	leader	imagery	conceptual	3
720	address	test	potential	3
721	make	risky	decision	3
722	analysis	organizational_outcome	leadership	5
723	safety	culture	safety	9
724	attitude	approach	behavior	7
725	organizational	leadership	process	4
726	leadership	leader	exhibit	4
727	employee	human	resource	4
728	relational	leadership	mean	3
729	innovative	unconventional	achieve	3
730	view	leadership	organization	4
731	relational	approach	adopt	4
732	emerge	leader	in##group	5
733	procedural	fairness	affect	3
734	situation	leadership	process	3
735	organize	condition	leadership	3
736	follower	turn	perceive	4
737	study	relational	dynamics	9
738	depend	daily	reproduction	3
739	author	argue	human	3
740	work	view	organization	3
741	group	identity	group	5
742	employee	job	satisfaction	16
743	problem	approach	situation	3
744	managerial	role	model	3
745	identification##enable	supply	chain	12
746	deficiency	intervene	variable	4
747	emphasize	charismatic_leadership_theory	leader	5
748	attachment	style	play	3
749	concern	respect	follower	5
750	leadership	consider	separate	3
751	language	mean	finalize	3
752	rost	postindustrial	leadership	3
753	accomplish	leadership	task	3
754	specific	behavioral	manifestation	3
755	recognize	follower	desire	4
756	task	structure	position	17
757	laissez##faire	leadership	bullying	3
758	pay	special	attention	4
759	dimension	idealize	influence	3
760	refer	employee	high	3
761	involve	collectivity	social	3
762	organizational_outcome	follower	behavior	3
763	style	match	follower	3
764	transformational	leader	exert	5
765	uncover	fact	reveal	3
766	climate	influence	safety	4
767	nature	relation	exist	3
768	style	follower	cultural	3
769	finding	autocratic	leadership	3
770	extra	role	aspect	4
771	consideration	intellectual	stimulation	23
772	devote	trait_approach	leadership	3
773	school	leader	successful	3
774	leader	style	trait	6
775	lead	enhance	performance	3
776	context	public	private	3
777	increase	leader	identification	3
778	act	ethnography	speak	3
779	influence	perceive	ease	5
780	difference	leadership	study	3
781	measure	subordinate	satisfaction	3
782	style	depend	situation	3
783	status	influence	define	3
784	job	control	high##strain	4
785	empirical	study	leadership	3
786	out	relational	dynamics	3
787	description	close	charismatic_leadership_theory	4
788	individual	action	individual	4
789	leadership	behavior	promote	3
790	measure	multifactor	leadership	12
791	larger	collectivity	relationship	3
792	key	issue	need	3
793	gender	leadership	style	7
794	generation	testing	proposition	3
795	relationship##oriented	avenue	explore	3
796	drucker	foundation	nonprofit	5
797	sun	anderson	argue	4
798	processing	internalize	moral	3
799	successful	project	manager	7
800	approach	constructionist	approach	3
801	intercorrelation	transformational	scale	5
802	high	low	ability	3
803	influence	safety	climate	4
804	hypotheses	offer	subordinate	3
805	model	assume	formulation	3
806	relationship	leader##follower	follower	3
807	process	consider	relative	3
808	understand	leader	focus	3
809	leadership	theory	category	8
810	study	carry	out	6
811	knowledge	reflection	self	3
812	broaden	include	party	3
813	fiol	charismatic_leadership_theory	leader	3
814	increase	number	responsible	3
815	reference	relate	construe	3
816	exchange	process	test	3
817	clarity	job	autonomy	3
818	process	play	role	3
819	promotion	focus	individual	3
820	symptom	anxiety	workplace	4
821	protect	promote	group	3
822	conflict	leadership	behaviour	3
823	process	reinforce	promote	3
824	investigate	relationship##oriented	process	3
825	charismatic_leadership_theory	leader	humility	3
826	group	agreement	coefficient	3
827	account	criterion	variance	3
828	dynamic	open	small	3
829	work	related	problem	7
830	approach	attitude	organizational_outcome	3
831	leadership	characteristic	model	3
832	leadership	selection	development	4
833	relationship	differ	approach	3
834	potency	leadership	style	5
835	focus	leadership	condition	3
836	evolve	transactional	exchange	3
837	employee	assistance	programme	3
838	develop	characteristic	relationship	3
839	vertical_dyad_linkage_theory	variation	vertical_dyad_linkage_theory	6
840	span	control	manager	3
841	implement	change	organization	3
842	performance	work	team	4
843	potential	negative	organizational_outcome	3
844	activate	infuse	work	3
845	relationship	psychological	empowerment	5
846	approach	approach	operationalize	3
847	style	high##task	low##relationship	3
848	available	communication	literature	3
849	relative	illuminate	key	3
850	change	encourage	innovative	4
851	electronic	brainstorming	tool	4
852	rest	heart	rate	3
853	firm	reputation	corporate	5
854	work	unit	member	29
855	emotional	response	member	3
856	peer	assessment	behavior	3
857	innovative	strategic	approach	3
858	positive	ethical	climate	3
859	communicate	high	expectation	12
860	socialize	personalize	develop	3
861	present	study	reveal	4
862	longitudinal	case	study	5
863	result	subordinate	manager	3
864	high	level	employee	7
865	leadership	study	examine	5
866	transformational	leader	communicate	4
867	organizational_outcome	radio	frequency	3
868	examine	main	interactive	3
869	high	competence	high##commitment	3
870	information	processing	theory	3
871	leadership	outside	scientific	3
872	develop	theoretical	framework	6
873	role	congruity	theory	4
874	stay	exit	decision	4
875	internalize	regulatory	process	3
876	achievement	oriented	leader	11
877	variable	tenure	education	3
878	task	negative	moderator	3
879	uncertainty	reduction	function	3
880	situational	control	training	3
881	dimension	leadership	effectiveness_level	9
882	effective	leadership	organization	3
883	competence	commitment	benefit	5
884	leadership	style	enhance	3
885	resource	responsibility	manager	7
886	individual	low	internal	6
887	social	exchange	explanation	4
888	competence	interpersonal	characteristic	9
889	charismatic_leadership_theory	individualize	consideration	9
890	behavior	leader	trait	5
891	social	force	work	5
892	identification	benefit	realization	10
893	achievement_goal_theory	leader	effectiveness_level	3
894	regional	sustainable	development	4
895	empirical	work	examine	5
896	involvement	organization	previous	3
897	transformational	leader	raise	3
898	leadership	personal	dominance	3
899	bien	call	stage	3
900	linkage	organizational	variable	3
901	facilitate	individual	collective	4
902	person	leadership	process	3
903	assume	shift	follower	3
904	mediate	relationship	leader	18
905	perception	incoming	leader	3
906	decision##make	empowerment	autonomy	3
907	subassembly	approach	recognize	3
908	intellectual	stimulation	enhance	3
909	creative	leadership	team	3
910	characterize	high	emphasis	4
911	leadership	result	support	4
912	define	creativity	innovation	3
913	collective	identity	communicate	3
914	prefer	co##worker	theory	3
915	theory	y	individual	3
916	member	prevention	focus	3
917	theory	expand	knowledge	3
918	teacher	resident	exchange	12
919	researcher	limit	focus	3
920	insight	process	context	3
921	task	relation	change	6
922	developmental	level	ii	6
923	employee	work	engagement	3
924	traditional	work	setting	3
925	power	struggle	exist	5
926	concept	vertical_dyad_linkage_theory	leadership	3
927	relate	constructive	ongoing	3
928	job	performance	satisfaction	3
929	contextual	nature	leadership	3
930	identification	organization	organizational_outcome	3
931	stronger	preference	leader	3
932	dynamics	social	process	3
933	sum	example	intend	3
934	transformational	charismatic_leadership_theory	theory	3
935	nurture	support	legitimize	3
936	depersonalize	leader##member	relation	7
937	self##regulation	broadly	style	3
938	resource	plan	knowledge	5
939	perception	ethical	level	5
940	provide	individual	support	3
941	examine	relationship	leader	6
942	people	employee	approach	3
943	approach	define	term	3
944	leadership	effectiveness_level	case	3
945	multiple	way	address	3
946	congruent	follower	personal	3
947	maintain	create	building	3
948	social	identity	frame	3
949	situation	leadership	style	4
950	sense	address	process	3
951	highlight	process	relationship	3
952	horizontal	axis	concern	3
953	employee	safety	related	3
954	explain	approach	attain	3
955	organizational_outcome	employee	commitment	4
956	collaborative	interdependence	introduce	3
957	leadership	emerge	operate	3
958	future	approach	stability	3
959	driver	corporate	social	6
960	innovative	behavior	credit	3
961	several	study	report	3
962	organizational	life	view	3
963	leader	provide	support	7
