	gram_1	gram_2	Freq
114	interaction	autocratic	3
115	several	writer	5
116	behavior##dependent	variable	7
117	term	organization	3
118	follower##group	member	4
119	describe	absence	3
120	ethical	behaviour	4
121	identification	pilot	3
122	knowledge	principle	3
123	behavior	identify	26
124	development	maintenance	5
125	personal	task	3
126	construct	open	3
127	exist	team	8
128	innovation	antecedent	3
129	participation	follower	3
130	view	expect	3
131	employee	express	7
132	follower	measure	5
133	exemplar	social	3
134	learn	manage	3
135	leader	involvement	5
136	work	company	4
137	leadership	gender	21
138	model	abstract	4
139	focus	participative	5
140	manage	conflict	4
141	follower	feel	19
142	safety	procedure	6
143	inaptitude	manager	4
144	approach	discuss	7
145	offer	member	4
146	behavior	condition	7
147	key	stakeholder	10
148	informal	network	6
149	transactional	laissez##faire	7
150	transactional_transformational_leadership_model	promote	3
151	examine	team	9
152	increase	ability	6
153	leadership	satisfaction	23
154	role	relation	5
155	authority	power	6
156	organization	interest	6
157	systemic	leadership	44
158	include	relationship	8
159	korea	usa	4
160	characteristic	self	3
161	bachelor	apply	6
162	base	social	26
163	sense	value	5
164	level	group	26
165	organizational_outcome	benefit	5
166	develop	leader##follower	5
167	leader	originate	3
168	behave	leader	3
169	deliberation	phase	5
170	foster	high	3
171	postmodernist	nursing	4
172	leader	enhance	34
173	four	main	5
174	perception	behavior	13
175	behavior	position	5
176	external	order	3
177	member	discuss	4
178	model	prediction	3
179	include	organizational_outcome	4
180	maintenance##oriented	leadership	4
181	distinct	source	3
182	team	design	3
183	feel	strong	3
184	team	creative	3
185	ambiguity	greater	3
186	base	style	5
187	scale	construct	6
188	situation	base	6
189	leader	suggestion	3
190	system	leadership	15
191	way	follower	6
192	physical	economic	3
193	notion	transformational_leadership_theory	9
194	charismatic_leadership_theory	visionary	9
195	relevant	variable	5
196	manager	emphasis	4
197	stress	influence	3
198	observer	attribution	3
199	high	risk	13
200	level	control	4
201	dorfman	kerr	3
202	teacher	perception	8
203	enhance	performance	19
204	selection	appropriate	5
205	performance	limitation	4
206	mediate	manager	3
207	criterion	relationship	3
208	shift	follower	4
209	generate	organizational	3
210	effective	social	5
211	apply	organization	4
212	contextual	contingency	4
213	application	vertical_dyad_linkage_theory	3
214	demand	quick	3
215	business	system	3
216	knowledge	value	3
217	choose	authority	3
218	work	design	3
219	leader	people	29
220	pursuit	collective	5
221	unit	characteristic	4
222	effective	style	7
223	charismatic_leadership_theory	behavior	55
224	exercise	authority	3
225	direct	test	7
226	leadership	consistent	10
227	relational	conception	3
228	evaluate	manager	3
229	performance	citizenship	5
230	process	interdependency	4
231	stimulation	individualize	36
232	four	be	3
233	deal	stressful	4
234	criticism	negative	3
235	regional	wider	4
236	examine	degree	4
237	share	knowledge	43
238	conclude	article	3
239	exploit	opportunity	5
240	trait	effective	9
241	advocate	role	6
242	model	posit	13
243	value	safety	4
244	highlight	leadership	3
245	theory	data	6
246	promote	corporate	3
247	charismatic_leadership_theory	study	16
248	support	school	11
249	level	vertical_dyad_linkage_theory	24
250	readiness	maturity	25
251	explain	reason	4
252	leader	combination	3
253	focus	objective	3
254	quantitative	data	10
255	emergent	coordination	10
256	transformational_leadership_theory	encompass	3
257	majority	group	9
258	theory	evolve	7
259	performance	subjective	4
260	context	transformational_leadership_theory	5
261	transformational_leadership_theory	account	6
262	literature	argue	16
263	manager	prefer	3
264	member	choose	5
265	phenomena	classify	3
266	dimension	reflect	5
267	positive	contribution	8
268	reach	conclusion	6
269	promote	organizational	5
270	mean	inspire	3
271	behavior	performance	25
272	diverse	environment	3
273	robert	blake##mouton_managerial_grid_model_leadership	5
274	transaction	leader	6
275	problem	create	3
276	study	laboratory	9
277	understanding	work	4
278	task	involve	3
279	enable	people	5
280	set	strict	3
281	grow	awareness	3
282	threat	opportunity	14
283	interaction	contextual	3
284	change	entity	3
285	demographic	diversity	12
286	model	identification	3
287	leader	strive	8
288	outcome	second	5
289	non##similar	previous	3
290	skill	understanding	3
291	participant	level	4
292	discuss	possibility	3
293	low	identification	3
294	feel	uncertain	4
295	authentic	ethical	7
296	attempt	distinguish	3
297	small	percentage	4
298	organizational_outcome	true	3
299	share	history	4
300	fail	provide	12
301	majority	rule	4
302	leadership	substitute	26
303	experience	situational	3
304	preference	consideration	3
305	teacher	feeling	3
306	believe	high	3
307	organizational_outcome	assume	5
308	similarity	leader	5
309	point	cognition	3
310	project	create	3
311	alternative	group	3
312	primary	embedding	5
313	tend	task##oriented	4
314	communication	intellectual	5
315	resource	developmental	9
316	world	war	16
317	directive	informational	3
318	woman	play	5
319	higher##level	benefit	4
320	neediness	anxious	3
321	manager	sex	3
322	effective	response	3
323	largest	number	3
324	exist	finding	3
325	condition	knowledge	3
326	influence	moderate	4
327	formal	report	5
328	relationship	group	28
329	influence	information	7
330	individual	trait	11
331	unwilling	insecure	3
332	group	develop	4
333	pass	minimum	3
334	believe	major	3
335	coordination	problem	3
336	leader	difference	8
337	action	problem	6
338	problem	approach	13
339	explore	individual	5
340	state	organizational_outcome	5
341	structure	time	4
342	maintain	high	5
343	model	predict	16
344	result	difficulty	3
345	role	reciprocity	3
346	person	make	3
347	leadership	such	7
348	objective	relationship##oriented	3
349	selection	theory	3
350	incremental	influence	10
351	behavior	prescriptive	3
352	individual	team	72
353	determine	interaction	3
354	culture	essential	3
355	kazakhstan	kyrgyzstan	4
356	context	share	3
357	control	teacher	4
358	account	trust	3
359	build	supportive	3
360	variable	support	3
361	influence	range	3
362	behaviour	supervisor	4
363	relationship	control	3
364	control	flow	7
365	intelligent	leader	11
366	people	include	6
367	role	base	5
368	academic	achievement	3
369	teacher	organizational	3
370	deal	deviation	3
371	equal	opportunity	5
372	relationship	non##contingent	26
373	social	scientist	25
374	consistency	liability	3
375	align	transformational_leadership_theory	3
376	watson	clark	4
377	chinese	business	5
378	perceive	match	5
379	leader	admire	3
380	ego	network	10
381	focus	interest	5
382	technology	technological	3
383	charismatic_leadership_theory	klein	3
384	explicit	corporate	21
385	include	behavioral	3
386	finding	transactional_transformational_leadership_model	3
387	introduce	technology	3
388	increase	satisfaction	8
389	discrepancy	actual	3
390	leadership	emphasis	4
391	experience	voyage	3
392	behavior	interest	8
393	base	qualitative	6
394	individual##group	organizational_outcome	3
395	receive	reward	8
396	extraversion	agreeableness	9
397	self	contrary	3
398	employee	service	53
399	influence	theory	3
400	way	change	3
401	colleague	work	3
402	development	field	4
403	role	focus	7
404	gender	play	4
405	support	charismatic_leadership_theory	4
406	respect	individual	5
407	value	learn	4
408	collective	knowledge	4
409	mind	work	4
410	theory	critical	3
411	rate	safety	4
412	organizational_outcome	subject	3
413	resource	responsibility	7
414	interaction	superior	3
415	collaborator	influence	6
416	variable	increase	3
417	realign	follower	4
418	plan	policy	4
419	relevant	outcome	6
420	learn	positive	7
421	procedure	dimension	4
422	discuss	leader	8
423	approach	subsequent	5
424	provide	foundation	3
425	offer	variety	3
426	motivation	set	3
427	change	meet	3
428	offer	compelling	3
429	authentic	leader##follower_theory	3
430	literature	transformational_leadership_theory	11
431	information	experience	4
432	adapt	strategy	3
433	variation	team	5
434	resource	improve	3
435	leader	i	7
436	attempt	establish	3
437	basis	behavior	3
438	self##evaluation	construct	4
439	ultimate	origin	3
440	theory	principle	4
441	perceive	leaderlike	6
442	community	share	3
443	woman	educational	3
444	observation	behavior	3
445	begin	examine	3
446	subordinate	relate	3
447	evaluation	relative	4
448	space	time	5
449	benevolence	leader	3
450	organization	employee	24
451	lowest	point	3
452	gain	cooperation	3
453	create	measure	6
454	high##power##distance	high##uncertainty	4
455	receive	external	3
456	condition	examine	3
457	performance	transformational	8
458	communication	structure	4
459	manager	place	3
460	problem	apply	3
461	i	strong	4
462	assessment	relationship	3
463	study	emphasize	6
464	result	speak	3
465	basis	study	7
466	erosion	follower	3
467	construct	land	3
468	outgroup	model	4
469	observation	study	3
470	score	influence	5
471	direction	approach	8
472	behavior	elicit	4
473	characteristic	teacher	6
474	people	involve	4
475	engineering	construction	3
476	leadership	prefer	5
477	work	critical	3
478	target	model	3
479	learn	invent	3
480	manager	relational	4
481	contribution	knowledge	5
482	collective	history	3
483	general	category	7
484	vertical_dyad_linkage_theory	call	4
485	group	factor	3
486	term	follower	8
487	knowledgeable	involved	3
488	independent	observer	4
489	trust	organization	5
490	behavior	ground	3
491	leader	praise	3
492	distinction	charismatic_leadership_theory	7
493	mix	support	9
494	understanding	constitute	3
495	measure	vertical_dyad_linkage_theory	17
496	increase	creativity	4
497	high	supportive	6
498	culture	propose	5
499	study	interview	4
500	resource	level	3
501	organizational	setting	54
502	achieve	high##level	4
503	subject	number	3
504	organizational_outcome	link	9
505	consideration	concern	8
506	conclusion	discussion	3
507	hersey##blanchard_situational_leadership_model	leadership	4
508	interpret	network	3
509	book	focus	4
510	intrapersonal	interpersonal	5
511	leadership	initiative	4
512	situation	explain	3
513	sample	consist	4
514	process	organization	7
515	organizational_outcome	group	36
516	degree	confidence	5
517	work	principle	5
518	resource	individual	3
519	follower	expectation	13
520	question	mind	3
521	perception	argue	3
522	strong	influence	10
523	unit	share	5
524	yukl	taxonomy	14
525	view	individual	18
526	initial	phase	3
527	internal	model	5
528	task	cohesive	5
529	report	less	7
530	effectiveness_level	manager	5
531	group	success	8
532	theory	value	49
533	democratic	autocratic	18
534	average	human	5
535	level	subordinate	26
536	transactional_transformational_leadership_model	leadership	8
537	charismatic_leadership_theory	characteristic	28
538	demonstrate	concern	5
539	define	person	3
540	emergence	social	8
541	job	fit	3
542	leader	core	5
543	analysis	relevant	6
544	cultural	trait	3
545	system	develop	3
546	architect	controller	3
547	trait	stronger	3
548	achieve	synergy	3
549	variety	level	3
550	susceptible	rol	3
551	female	male	26
552	characteristic	employee	11
553	supportive	relationship	4
554	out	welfare	5
555	emergence	style	3
556	clear	sense	4
557	pass	power	9
558	transformational_leadership_theory	require	4
559	individual	readiness	3
560	sample	group	18
561	student	believe	8
562	principal	instructional	3
563	performance	team	42
564	result	type	4
565	supervisor	leadership	8
566	team	decision	4
567	view	ongoing	5
568	fraternity	sorority	7
569	application	model	4
570	variety	individual	4
571	approach	independent	3
572	person	people	3
573	create	higher	3
574	augment	transactional_transformational_leadership_model	5
575	in##group	decision	12
576	clarity	variable	3
577	team	value	19
578	embedding	mechanism	12
579	people	interpret	4
580	leadership	reality	11
581	leader	behavior##group	10
582	leader	ask	3
583	subordinate	analyze	3
584	charismatic_leadership_theory	argue	5
585	positive	level	3
586	burns	draw	4
587	experience	organizational_outcome	3
588	model	building	7
589	conscientiousness	related	5
590	previous	literature	7
591	frequency	co##occurrence	4
592	case	relationship	3
593	leadership	graen	3
594	process	interpersonal	7
595	change	leader	10
596	occur	member	3
597	environment	study	10
598	vertical_dyad_linkage_theory	job	5
599	practice	principle	3
600	work	decision	5
601	remain	active	3
602	student	background	5
603	attempt	test	7
604	transform	individual	4
605	work	value	23
606	south	country	8
607	incremental	effectiveness_level	11
608	expression	leader	3
609	underlying	influence	10
610	national	party	5
611	construct	transformational_leadership_theory	9
612	environment	empowerment	3
613	tool	house	3
614	supervisor##subordinate	relationship	4
615	earn	stand	3
616	challenge	enable	3
617	i	theoretical	4
618	childhood	adolescence	7
619	fact	relationship	3
620	way	theorize	3
621	study	job	5
622	organizational_outcome	vertical_dyad_linkage_theory	26
623	time	frame	6
624	report	greater	6
625	manager	concerned	8
626	style	decision	4
627	nursing	staff	6
628	assessment	system	6
629	five	core	5
630	relation	safety	4
631	address	vertical_dyad_linkage_theory	3
632	individual	information	3
633	outcome	transformational_leadership_theory	21
634	empowerment	mediate	14
635	style	value	9
636	fact	organizational_outcome	3
637	readiness	willingness	4
638	centrality	degree	3
639	enhance	employee	28
640	information	leadership	7
641	conservative	party	3
642	create	communicate	3
643	aspect	transformational##transactional_transformational_leadership_model	4
644	consistent	drath	3
645	transformational	subscale	3
646	lack	independence	6
647	future	examine	30
648	performance	degree	6
649	organizational	intervention	4
650	form	participative	5
651	vary	leadership	8
652	heri	characteristic	4
653	burns	define	3
654	inspire	follower	29
655	determinant	need	3
656	order	correlation	9
657	behavioral	indicator	5
658	benefit	transformational_leadership_theory	5
659	follower	preference	3
660	stage	four	3
661	management	human	11
662	increase	emphasis	5
663	leader	work	56
664	current	management	3
665	result	confirm	8
666	strong	personal	8
667	soft	hard	3
668	knowledge	practice	10
669	fail	establish	3
670	responsibility	enhance	4
671	specific	morphology	3
672	people	build	3
673	emotional	intensity	6
674	foster	greater	4
675	solve	complex	3
676	out	alternative	4
677	space	permit	4
678	manager	understand	9
679	leader	representative	4
680	practice	value	4
681	requirement	meet	3
682	condition	promote	5
683	type	internalization	3
684	learn	development	8
685	higher	education	17
686	framework	discuss	4
687	student	setting	3
688	shape	team	3
689	help	foster	3
690	interaction	non##interaction	3
691	individual	theory	15
692	feedback	clarity	3
693	variable	approach	4
694	theoretical	reason	4
695	exhibit	behavior	15
696	markus	wurf	3
697	focus	attention	36
698	leadership	place	9
699	vary	function	13
700	organizational_outcome	causal	3
701	sense	humor	5
702	perception	transformational_leadership_theory	7
703	perceive	self##efficacy	5
704	instrumental	expressive	9
705	result	survey	4
706	organizational_outcome	broader	3
707	expectation	enactment	23
708	focus	employee	6
709	supervisor	support	5
710	leadership	conduct	10
711	predict	organizational	5
712	work	oriented	11
713	organizational	safety	8
714	drive	subsequent	3
715	construct	share	4
716	three	individual	3
717	subordinate	current	3
718	leadership	relational	48
719	behavior	employee	34
720	factor	situation	5
721	value	reinforce	4
722	non##western	culture	3
723	build	loyalty	4
724	relationship	subordinate	48
725	justify	mission	3
726	salience	social	3
727	set	problem	3
728	order	value	3
729	adolf	hitler	4
730	aim	study	9
731	meeting	requirement	4
732	generate	innovation	3
733	concern	relational	3
734	view	collection	3
735	enable	work	4
736	survey	literature	3
737	perception	behaviour	3
738	approach	outline	3
739	problematic	study	3
740	action	influence	3
741	evaluation	manager	3
742	effectiveness_level	leader##follower	3
743	improvement	work	5
744	mere	automation	3
745	situationa1	mode1	4
746	term	in##group	3
747	charismatic_leadership_theory	transformational_leadership_theory	99
748	need	recognize	8
749	effort	accomplish	9
750	state	behavior	4
751	evoke	promotion	5
752	concerned	description	3
753	interaction	theory	8
754	plan	change	3
755	situation	include	7
756	society	influence	3
757	involve	innovation	3
758	plan	coordinate	5
759	ability	focus	4
760	location	organization	3
761	share	experience	11
762	department	valuable	3
763	influence	form	4
764	facilitate	coordination	3
765	variable	dependent	6
766	style	intelligence	10
767	performance	finding	10
768	detrimental	organizational_outcome	12
769	style	set	4
770	facilitator	play	3
771	understanding	innovation	3
772	literature	theoretical	6
773	leader	health	8
774	label	follower	3
775	leader	tell	8
776	information	support	9
777	extrinsic	intrinsic	7
778	state	study	4
779	social	justice	11
780	base	analysis	5
781	key	point	6
782	charismatic_leadership_theory	view	3
783	contextual	input	9
784	high##characteristic	work	4
785	face	problem	3
786	manager	define	4
787	factor	research	3
788	sense	competence	13
789	response	question	3
790	model	diversity	6
791	ideal	approach	4
792	identification	project	26
793	suggest	leader	71
794	limit	factor	4
795	meaningful	work	18
796	performance	lack	5
797	content	analysis	12
798	approach	operate	3
799	model	trust	7
800	knowledge	benefit	4
801	influence	specific	7
802	increase	intention	3
803	feedback	individual	7
804	process	maker	3
805	exchange	key	4
806	behavior	express	11
807	test	effectiveness_level	7
808	understanding	construct	5
809	leadership	relevance	4
810	scientist	engineer	3
811	trait	link	6
812	nature	nurture	4
813	function	process	3
814	leadership##management	development	3
815	investigation	relationship	4
816	strategic	thinking	3
817	trait	group	4
818	proposition	ii	5
819	attribution_theory_leadership	influence	3
820	result	difficult	4
821	expectation	include	3
822	challenging	theory	5
823	follower	neuroticism	4
824	powerful	organizational_outcome	8
825	expect	follower	17
826	bring	product	4
827	explain	role	4
828	worker	assess	3
829	ambiguous	stimuli	5
830	behaviour	deal	3
831	information	increase	3
832	theoretical	understanding	8
833	leader##follower	bring	4
834	model	channel	3
835	follower	relevant	4
836	write	statement	3
837	diversity	transformational_leadership_theory	6
838	reciprocity	develop	4
839	relationship	address	5
840	share	job	3
841	appropriate	follower	3
842	leader	rank	3
843	manager	sensitive	3
844	decision	perform	3
845	seek	pleasure	3
846	clinical	psychology	4
847	female	minority	5
848	culture	transformational	7
849	kohuts	explanation	3
850	individual	lead	7
851	vertical_dyad_linkage_theory	support	5
852	accomplish	organizational	3
853	management	program	11
854	strong	ethical_leadership_theory	8
855	present	study	278
856	risk	approach	5
857	moslem	country	3
858	researcher	consider	3
859	response	leadership	6
860	examine	specific	11
861	manage	team	9
862	break	glass	4
863	permanent	occur	3
864	alignment	leader	6
865	accomplish	task	26
866	leader	credit	6
867	quinns	leadership	3
868	offer	additional	4
869	ethical	unethical	6
870	illustrate	difference	5
871	measure	model	8
872	relationship	anxious	6
873	attribution_theory_leadership	profile	6
874	outcome	motivate	4
875	study	support	63
876	situation	involve	8
877	distinct	difference	3
878	need	manage	7
879	leadership	questionnaire	276
880	accumulate	store	4
881	trust	follower	23
882	membership	leadership	3
883	environment	characteristic	4
884	regional	process	3
885	mean	provide	3
886	follower	desire	16
887	pursuit	interest	3
888	dyadic	partner	10
889	interaction	actor	5
890	hersey##blanchard_situational_leadership_model	johnson	4
891	hersey##blanchard_situational_leadership_model	develop	7
892	behavior	change_transformation_oriented	4
893	organizational	learn	25
894	language	emphasize	3
895	term	ethical	3
896	perform	behavior	7
897	training	session	5
898	change	result	8
899	difference	relational##entity	3
900	empower	follower	31
901	leadership	understand	32
902	personal	physical	3
903	leadership##related	team	5
904	desire	meet	3
905	organizational_outcome	subordinate	39
906	correlation	negative	3
907	follower	arouse	3
908	predictor	effectiveness_level	5
909	general	principle	3
910	homogeneous	group	8
911	hypothesize	leader	4
912	sole	responsibility	4
913	emphasize	negative	3
914	team	convergence	3
915	bullying	role	3
916	transactional_transformational_leadership_model	develop	7
917	out	existence	3
918	structural	model	14
919	maximize	follower	3
920	dimension	charismatic_leadership_theory	8
921	move	graen	3
922	credit	success	4
923	manager	hong	3
924	theory	effective	20
925	intergroup	involvement	3
926	questionnaire	leader	10
927	leader	fail	16
928	process	dyadic	3
929	model	observe	5
930	characteristic	service	8
931	characteristic	index	3
932	environment	argue	5
933	implicit	follower	3
934	recognize	leader##group	4
935	theory	year	3
936	study	increase	5
937	order	discipline	3
938	change	occur	16
939	american	engineer	7
940	thermal	climate	3
941	understand	architect	3
942	review	result	5
943	strong	occupational	4
944	firm	study	5
945	work	scholar	6
946	distinction	leader##follower	4
947	community	hospital	3
948	network	school	4
949	empirical	article	9
950	higher	score	11
951	organizational_outcome	impossible	3
952	suggest	additional	4
953	seek	establish	3
954	substitute_leadership_theory	construct	4
955	link	four	3
956	consistency	mentorship	3
957	relationship##oriented	process	3
958	raise	depend	3
959	performance	unit	7
960	charismatic_leadership_theory	strong	3
961	idea	opinion	5
962	transformational_leadership_theory	limit	5
963	finding	report	10
964	stronger	leadership	4
965	conflict	team	3
966	commitment	organization	50
967	team	stakeholder	4
968	issue	human	3
969	term	male	4
970	level	suggest	5
971	fiedler	contend	3
972	judy	rosener	3
973	report	positive	18
974	power	define	3
975	theoretical	piece	3
976	role	drive	3
977	approach	area	3
978	team	structure	3
979	state	affect	6
980	workplace	role	3
981	performance	research	3
982	organization	motivated	3
983	relationship	contingent	24
984	difference	lie	5
985	problem	focus	6
986	sense	direction	5
987	project	base	5
988	question	raise	12
989	offer	example	6
990	contingent	organizational_outcome	5
991	value	congruence	115
992	training	leader	9
993	university	scale	5
994	level	high	4
995	analysis	longitudinal	3
996	romantic	relationship	8
997	function	enhance	3
998	organizational_outcome	model	20
999	current	activity	4
1000	support	staff	14
1001	subjective	effectiveness_level	3
1002	supportive	evidence	5
1003	range	restriction	11
1004	reflect	follower	3
1005	satisfaction	leader	91
1006	service	encounter	3
1007	meeting	environment	3
1008	great	extent	5
1009	key	life	3
1010	articulate	theory	4
1011	phase	facilitate	3
1012	teacher	type	4
1013	seminal	achievement_goal_theory	5
1014	office	charismatic_leadership_theory	4
1015	work	structure	5
1016	average	member##group	3
1017	sustainable	performance	4
1018	work	year	4
1019	theory	practice	29
1020	sickness	absenteeism	5
1021	leadership	analyse	4
1022	variation	negative	3
1023	convince	follower	6
1024	consistent	notion	9
1025	process	capable	3
1026	validate	model	4
1027	influence	nature	3
1028	emphasis	hierarchical	3
1029	schein	argue	5
1030	ethical	value	17
1031	lifetime	employment	6
1032	adopt	constructionist	3
1033	education	experience	3
1034	study	association	6
1035	generic	definition	3
1036	act	local	3
1037	differ	individual	6
1038	foster	positive	10
1039	occur	formal	5
1040	approach	hierarchical	3
1041	leadership	matter	15
1042	subordinate	substantial	3
1043	achieve	ambitious	3
1044	style	structure	4
1045	differentiation	team	6
1046	three	main	18
1047	mindedness	type	34
1048	model	organization	8
1049	interaction	repeat	3
1050	model	inclusion	3
1051	limit	snapshot	3
1052	feedback	nonlinear	3
1053	manager	responsibility	7
1054	follower	strive	4
1055	central	committee	8
1056	leader	difficulty	3
1057	dominate	field	3
1058	sector	difference	10
1059	nurse	evidence	5
1060	problem	opportunity	8
1061	leadership	contribution	6
1062	approach	management	13
1063	uncertainty	conflict	7
1064	in##group	elect	3
1065	argue	three	3
1066	offer	result	3
1067	phillips	argue	3
1068	factor	exist	3
1069	reflect	common	7
1070	hersey##blanchard_situational_leadership_model	factor	3
1071	western	society	6
1072	norm	expect	3
1073	opinion	deviate	5
1074	refer	process	13
1075	individual	form	8
1076	performance	lead	5
1077	call	vertical_dyad_linkage_theory	3
1078	hall	merenda	4
1079	regulate	performance	3
1080	approach	manager	7
1081	environment	challenge	4
1082	organization	workgroup	3
1083	practice	effective	3
1084	study	evaluate	9
1085	passive	job	4
1086	analysis	organizational	4
1087	result	transformational	5
1088	transactional_transformational_leadership_model	factor	8
1089	propose	positive	4
1090	dominant	approach	5
1091	attain	position	3
1092	dark	trait	8
1093	micro	process	3
1094	restrict	leadership	3
1095	industrial	organization	3
1096	solution	group	5
1097	idea	create	5
1098	leadership	sensitive	3
1099	instrument	available	3
1100	concept	measure	4
1101	participate	leadership	7
1102	condition	leadership	12
1103	precede	paragraph	4
1104	dare	risk	3
1105	provide	appropriate	7
1106	safety	outcome	23
1107	confidence	interval	9
1108	focus	service	4
1109	role	safety	4
1110	state	characteristic	3
1111	special	effort	3
1112	imply	causal	3
1113	multi##level	cross##level	3
1114	highlight	fact	3
1115	model	interpersonal	8
1116	dynamics	people	4
1117	individual	specific	3
1118	leader##follower	embed	3
1119	scale	range	8
1120	span	empowerment	3
1121	war	feminine	3
1122	charismatic_leadership_theory	theoretical	3
1123	history	leadership	10
1124	education	job	3
1125	narrative	formation	4
1126	leadership	contemporary	6
1127	development	management	7
1128	organizational_outcome	multiple	4
1129	closer	supervision	3
1130	disagree	agree	3
1131	share	support	3
1132	leadership	series	3
1133	relationship##oriented	enhance	4
1134	direction	focus	4
1135	task	complete	4
1136	encourage	people	7
1137	include	transformational_leadership_theory	4
1138	maturity	there	3
1139	agreeable	individual	10
1140	secure	follower	14
1141	key	influence	3
1142	explanation	perceive	3
1143	manager	level	8
1144	work	woman	8
1145	order	structure	3
1146	ontological	organizational_outcome	3
1147	need	assess	4
1148	predictor	variable	8
1149	understanding	autocratic	3
1150	characteristic	self##collective	3
1151	x	uncertainty	3
1152	transformational_leadership_theory	behavior	99
1153	approach	key	6
1154	follower	admire	4
1155	personal	growth	10
1156	general	intelligence	11
1157	support	knowledge	3
1158	manager	individual	3
1159	interest	expectation	3
1160	process	change	9
1161	maintain	predic	3
1162	order	sustain	3
1163	reference	guide	3
1164	interdependence	emerge	3
1165	style	woman	10
1166	motivate	participant	3
1167	theory	benefit	4
1168	distrust	leader	3
1169	woman	leader	50
1170	prior	performance	4
1171	colleague	propose	4
1172	link	task	3
1173	include	behaviour	4
1174	specific	contexts	9
1175	problem##solving	situation	3
1176	recognize	implication	3
1177	culture	finding	3
1178	sense	control	7
1179	direct	leader	9
1180	result	team	11
1181	collective	leadership	12
1182	good	characteristic	5
1183	country	analysis	4
1184	review	conduct	4
1185	political	approach	4
1186	size	difference	3
1187	transformational_leadership_theory	study	11
1188	classroom	base	3
1189	issue	represent	3
1190	follower	perception	107
1191	clear	role	3
1192	responsibility	discretion	4
1193	manager	attempt	3
1194	conflict	finding	5
1195	hierarchical	analysis	5
1196	attachment	leader	9
1197	several	scholar	4
1198	appraisal	primary	3
1199	reward	contingency	4
1200	thought	action	3
1201	ecology	leadership	5
1202	viable	leadership	3
1203	performance	quantity	8
1204	vertical_dyad_linkage_theory	approach	15
1205	attempt	clarify	3
1206	attain	performance	3
1207	transformational_leadership_theory	empowerment	4
1208	culture	lack	3
1209	perform	manufacturing	3
1210	cognitive	framework	4
1211	bass	write	4
1212	balance	need	3
1213	mechanism	leader	19
1214	management	development	17
1215	promote	son	3
1216	improve	ability	9
1217	researcher	adopt	3
1218	clinical	guideline	4
1219	manufacture	manager	4
1220	behavior	predictive	3
1221	decision	support	62
1222	ability	adapt	3
1223	organizational	socialization	6
1224	workplace	spirituality	27
1225	satisfaction	community	4
1226	leader	construct	7
1227	attitude	organizational	6
1228	study	approach	17
1229	hardware	software	3
1230	performance	ceo	5
1231	term	differential	3
1232	incorporate	model	3
1233	factor	encompass	3
1234	difference	group	12
1235	attitude	task	3
1236	integrity	leader	7
1237	work	benefit	8
1238	influence	enable	5
