	gram_1	gram_2	gram_3	Freq
114	follower	leader	positive	5
115	skill	leadership	development	3
116	strongest	predictor	bullying	4
117	increase	job	control	5
118	nurse	approach	professional	3
119	support	process	accomplish	3
120	organization	system	interdependent	4
121	culture	training	performance	3
122	management	strategic	contribution	3
123	moderate	relationship	performance	3
124	view	top	management	3
125	relationship	leader	reward	12
126	view	work	begin	3
127	centralize	leadership	activity	4
128	compilational	unit	property	10
129	follower	high	relationship	4
130	relationship	behavior	group	4
131	personal	individual	user	6
132	identity	model	social	66
133	identify	relational	leadership	4
134	factor	intercorrelation	transformational	3
135	enhance	understanding	relational	3
136	locus	control	moderate	5
137	object	understanding	relationship	6
138	profile	leader	motive	3
139	tendency	romanticize	leadership	3
140	organize	follow	structuration	3
141	separable	way	need	3
142	refuse	media	radical	3
143	high	identification	salience	3
144	recognize	formal	informal	3
145	cognitive	motivational	affective	4
146	leadership	leader	collaborator	3
147	process	approach	follower	3
148	accord	leadership	personal	3
149	group	membership	cue	5
150	leader	group	leadership	3
151	approach	stability	desirability	3
152	responsibility	firm	performance	19
153	member	exchange	team	3
154	organizational	identification	social	3
155	understanding	issue	opportunity	3
156	compatible	seek	value	3
157	section	process	consider	3
158	latent	factor	intercorrelation	4
159	approach	offer	work	3
160	approach	attain	act	3
161	feedback	dynamic	behaviour	3
162	relational	influence	strategy	3
163	perceptual	depersonalization	produce	3
164	depend	daily	constitute	3
165	perceive	life	positive	3
166	dynamic	approach	generalize	3
167	focus	investigation	relational	3
168	moderate	relationship	autocratic	4
169	salient	contribution	recognize	3
170	intelligence	masculinity	femininity	5
171	suggestion	recommend	lead	3
172	full	person	follower	4
173	member	group	leadership	5
174	divide	symbolic	interactionist	3
175	locate	perception	cognition	3
176	protect	promote	group	3
177	team	leadership	network	4
178	locus	control	leadership	4
179	arise	combination	anonymity	3
180	contribution	perceive	represent	3
181	constructionist	approach	adopt	3
182	definition	social	negotiate	3
183	balance	reciprocity	relationship	3
184	mere	automation	electronic	3
185	leadership	lord	explore	3
186	value	interest	consider	3
187	lean	leadership	general	3
188	plan	knowledge	share	3
189	attain	act	express	3
190	relational	stem	relationship	3
191	convert	school	objective	3
192	cross	national	difference	10
193	disrupt	change	open	3
194	frustration	stress	subordinate	3
195	team	member	expect	6
196	political	process	participant	3
197	researcher	organizational	participant	3
198	measurement	data	analysis	11
199	introduce	analysis	use	3
200	cognitive	categorization	approach	3
201	motivation	affect	evaluation	3
202	high	technology	industry	3
203	move	time	complex	3
204	power	distance	uncertainty	7
205	beneficial	leader	consistent	3
206	perception	organizational	politics	5
207	refer	dominate	conception	3
208	manufacturing	manager	emphasis	3
209	organization	distant	future	3
210	consistent	contribution	perceive	3
211	practice	term	leader	3
212	develop	theoretical	framework	6
213	bond	form	factor	3
214	comment	argument	group	3
215	team	oriented	dimension	3
216	property	behavior	interact	5
217	member	mediate	relationship	3
218	response	satisfaction	person	3
219	exchange	influence	value	3
220	theory	leadership	argue	5
221	woman	man	occupy	4
222	ability	benevolence	integrity	7
223	leadership	holonomic	process	3
224	manipulative	serve	intention	4
225	maintain	positive	view	4
226	refer	individual	influence	3
227	leadership	selection	development	4
228	expect	mediator	relationship	3
229	organizational	routine	resource	3
230	indirect	performance	mediate	4
231	leader	effective	contribution	3
232	leadership	schema	underlying	3
233	high	commitment	benefit	3
234	focus	affective	relational	4
235	issue	specific	knowledge	3
236	influential	act	organize	5
237	develop	dyad	partner	3
238	work	begin	lead	3
239	attractiveness	masculinity	intelligence	4
240	approach	leadership	influence	3
241	comprise	organization	social	3
242	creativity	innovation	work	3
243	kind	relationship	construct	3
244	dynamics	accompany	introduction	3
245	business	value	creation	3
246	assess	assessment	indicator	3
247	reflection	relation	set	3
248	embed	collective	sensemaking	3
249	leadership	influence	attempt	5
250	relationship	outcome	performance	3
251	identify	factor	influence	4
252	consider	relative	bring	3
253	female	minority	leader	3
254	phenomena	relationship	subject	3
255	perception	situation	susceptibility	4
256	medium	social	create	3
257	participant	changing	change	3
258	negative	relationship	behavior	5
259	autonomous	motivation	predict	3
260	training	performance	resident	8
261	social	interactive	process	3
262	show	confidence	follower	3
263	competitive	innovative	culture	3
264	moderate	participation	cooperation	3
265	information	technology	project	3
266	leadership	approach	organizational	4
267	workplace	creativity	innovation	3
268	distribution	resource	value	3
269	capture	process	require	3
270	dachler	hosking	approach	3
271	influence	perceive	technology	4
272	regional	sustainable	development	4
273	diversity	elaboration	information	5
274	consistent	constructivist	entity	3
275	contribute	generation	emergence	3
276	establish	role	personal	3
277	leadership	neglect	relational	3
278	emphasis	task	relationship	4
279	structuring	interaction	relationship	3
280	role	situation	context	3
281	social	responsibility	initiative	7
282	demonstrate	conviction	passion	3
283	formal	informal	influence	8
284	motive	profile	theory	15
285	pure	constructionist	approach	3
286	affect	leader	emergence	3
287	larger	socioeconomic	environment	3
288	achieve	healthful	regeneration	4
289	influence	demonstrate	benefit	3
290	focus	characteristic	actor	3
291	lead	theory	related	3
292	focus	social	concept	6
293	know	individual	view	3
294	nurse	manager	influence	4
295	trait	predict	leadership	3
296	growth	need	strength	16
297	assume	relational	ontology	3
298	organization	policy	procedure	3
299	complex	interactive	dynamic	3
300	interaction	relationship	development	3
301	core	activity	layer	4
302	intrapersonal	process	actor	3
303	individual	agency	start	3
304	pass	weak	barrier	4
305	process	engage	participant	3
306	leadership	role	task	3
307	lead	creativity	innovation	3
308	resource	department	employee	10
309	autocratic	leadership	burnout	7
310	comprise	leadership	key	3
311	leadership	school	improvement	11
312	leader	achieve	follower	4
313	organizational	rational	culture	3
314	commitment	developmental	define	4
315	trait	honesty	integrity	3
316	satisfaction	relationship	secondary	3
317	focus	attention	characteristic	3
318	model	fit	data	3
319	investigate	outcome	reside	4
320	sense	investment	organization	3
321	occupy	principal	position	3
322	examination	relational	interaction	3
323	need	closure	foster	3
324	leadership	competency	profile	6
325	engage	meaningful	theory	3
326	individual	team	organization	3
327	integral	component	need	3
328	agreement	team	member	13
329	role	implicit	explicit	3
330	communicate	symbolic	way	3
331	process	leadership	relationship	3
332	leadership	adopt	approach	3
333	single	chain	command	4
334	time	language	theoretical	3
335	work	dimension	nurse	3
336	performance	team	innovation	12
337	generation	knowledge	practice	3
338	intention	quit	organization	3
339	consistent	extension	propose	3
340	factor	motivator	hygiene	3
341	relationship	outcome	interaction	3
342	requirement	interdependence	complex	3
343	need	explore	increase	3
344	organizational	integration	project	3
345	construct	define	term	3
346	subordinate	superior	outsider	3
347	average	size	standard	4
348	woman	attain	leadership	3
349	leadership	relationship	produce	4
350	complex	multiple	activate	3
351	association	intend	personal	6
352	perceive	environmental	volatility	11
353	leader	perceive	bully	3
354	value	attitude	exert	4
355	meeting	system	characteristic	4
356	social	construct	change	3
357	small	depend	daily	3
358	trust	leadership	develop	3
359	attention	measure	control	3
360	team	member	relative	5
361	follower	reward	leader	3
362	identification	follower	leader	3
363	extent	difficult	engage	3
364	model	activate	relevant	3
365	leader	create	environment	4
366	core	value	characteristic	3
367	group	network	building	3
368	reason	public	manager	3
369	raise	leadership	ask	3
370	relation	sex	good	3
371	process	respect	ontology	3
372	leadership	role	express	3
373	problem	solving	team	3
374	man	woman	hold	4
375	life	building	principle	3
376	transformational	change	leadership	5
377	relational	process	emotion	3
378	characteristic	dyad	innovative	3
379	innovative	unconventional	achieve	3
380	feeling	reasoning	sensory	3
381	display	engender	leader	3
382	leader	express	theory	4
383	intrinsic	extrinsic	motivation	3
384	intentional	hosking	describe	3
385	status	hollander	leadership	3
386	interaction	contribute	generation	3
387	subordinate	perceive	high	4
388	research	program	dimension	4
389	provide	praise	recognition	4
390	reciprocal	influence	process	6
391	citizenship	behavior	positive	3
392	role	behavior	organizational	4
393	decision	support	characteristic	3
394	approach	offer	definition	3
395	propose	conceptual	model	5
396	facilitate	group	process	3
397	system	structure	relational	3
398	member	commit	organization	5
399	explore	count	leadership	3
400	power	distance	score	3
401	relative	team	member	3
402	entity	researcher	counter	3
403	language	theoretical	underpinnings	3
404	set	formal	informal	4
405	substitute	neutralize	enhance	3
406	require	great	deal	3
407	researcher	subject	project	3
408	construction	process	understanding	3
409	value	distinguish	wrong	3
410	leadership	team	power	6
411	leader	member	generate	3
412	media	cooperative	climate	4
413	incorporate	content	context	4
414	group	category	membership	3
415	entity	consider	subject	3
416	attitude	score	influence	4
417	view	issue	multiple	5
418	leadership	collective	process	3
419	leader	act	way	3
420	improve	adaptive	problem	4
421	broader	organization	interorganizational	3
422	firm	corporate	social	8
423	leader	make	follower	3
424	social	identity	model	133
425	demographic	trait	related	4
426	act	considerate	show	3
427	maintain	group	harmony	4
428	support	human	resource	3
429	recognize	individual	contribution	4
430	avenue	explore	relational	3
431	influence	cooperative	climate	5
432	credit	building	process	3
433	issue	feminism	alive	3
434	divergent	group	member	3
435	work	group	subordinate	5
436	behavioral	attitudinal	outcome	3
437	reason	learn	invent	3
438	integration	coordination	complex	5
439	subordinate	agreement	individual	3
440	evolve	social	change	7
441	way	woman	lead	3
442	confidence	follower	ability	11
443	entity	constructionist	hosking	3
444	team	member	ward	3
445	key	ontological	difference	3
446	group	agreement	perception	5
447	relationship	autocratic	leadership	10
448	human	side	enterprise	3
449	relationship	weak	strong	3
450	service	manager	public	3
451	local	historical	cultural	3
452	static	model	bring	3
453	organization	multiple	influence	3
454	cognition	engage	exchange	3
455	group	generate	idea	4
456	moderate	relationship	consideration	3
457	explicit	difference	employee	6
458	hope	faith	organization	3
459	social	group	aesthetic	3
460	people	group	know	3
461	multiple	analysis	individual	3
462	characteristic	relation	leader	4
463	resource	practice	behaviour	5
464	plan	assimilation	phase	4
465	limit	snapshot	relational	3
466	implement	human	resource	8
467	leader	remove	leadership	3
468	function	group	member	3
469	relational	core	process	3
470	identity	group	organization	3
471	leader	understanding	collective	3
472	support	school	improvement	5
473	bring	interpersonal	exchange	3
474	related	cognition	behavior	3
475	relationship	subordinate	trust	3
476	social	responsibility	strategy	4
477	servant	leader	believe	4
478	social	construct	differentiate	3
479	human	service	administrative	3
480	identify	leadership	modify	3
481	clarification	assessment	behavior	3
482	score	represent	primary	4
483	charge	nurse	approach	3
484	member	dyad	characterize	3
485	recognize	formal	reward	3
486	resource	practice	human	3
487	university	leadership	state	55
488	analysis	combine	data	3
489	manager	job	complexity	3
490	country	china	singapore	4
491	develop	discourse	term	3
492	analysis	theoretical	construct	3
493	antecedent	trust	leadership	8
494	dyad	view	leadership	3
495	increase	enhance	follower	3
496	citizenship	behavior	follower	3
497	presence	apply	focus	3
498	state	resource	depletion	4
499	contribution	knowledge	create	3
500	notion	leader	leadership	3
501	determine	nature	relationship	3
502	sense	call	membership	3
503	objective	social	force	3
504	expand	view	leadership	3
505	race	influence	leadership	4
506	measure	organizational	citizenship	6
507	group	emerge	proceed	3
508	manage	stressful	demand	3
509	relationship	direction	leader	3
510	reward	punish	subordinate	3
511	share	team	leadership	5
512	evaluation	human	resource	3
513	larger	collectivity	view	3
514	expand	role	responsibility	3
515	people	work	organization	4
516	examine	nature	negotiate	3
517	reward	leader	control	8
518	understanding	vast	majority	3
519	bring	theory	describe	3
520	multifactor	factor	structure	5
521	group	member	process	7
522	factor	relationship	leadership	3
523	array	personal	mind	3
524	performance	behavior	reflective	4
525	term	relational	individual	3
526	member	high	performance	3
527	negative	emotion	mood	3
528	positive	group	identity	4
529	experience	schema	depend	3
530	interaction	actor	focus	3
531	high	team	power	3
532	social	responsibility	relationship	3
533	knowledge	creation	process	12
534	investigation	critical	factor	3
535	leadership	perception	explain	4
536	leadership	task	complexity	3
537	individual	cognition	act	3
538	individual	repertoire	relational	3
539	behavior	related	effectiveness	3
540	distance	individualism	collectivism	3
541	leadership	development	initiative	3
542	work	available	guide	3
543	remark	solution	proposal	3
544	support	substitute	model	3
545	team	power	struggle	31
546	leadership	approach	theory	3
547	social	dominance	approach	3
548	follower	accept	leader	4
549	process	individual	perform	3
550	issue	employee	motivation	3
551	value	characteristic	management	7
552	subject	object	understanding	6
553	interact	model	start	3
554	understanding	mediate	process	3
555	influence	employee	behavior	4
556	dynamic	interaction	leadership	3
557	relationship	leadership	outcome	11
558	satisfaction	relationship	positive	3
559	view	ongoing	achievement	3
560	considerate	show	support	3
561	organization	solid	formal	3
562	suggest	leader	perform	3
563	solving	adaptive	problem	3
564	desire	actual	state	4
565	knowledge	creation	organization	4
566	exchange	social	construction	3
567	integration	social	identity	4
568	perceive	friendship	opportunity	5
569	distinction	leadership	management	3
570	difference	close	distant	4
571	produce	enable	define	3
572	member	perception	leader	4
573	innovation	school	improvement	4
574	view	consideration	relationship	3
575	bass	avolio	report	4
576	building	traditional	sense	3
577	event	emerge	unfold	3
578	member	participate	construct	3
579	tyranny	attractiveness	masculinity	3
580	form	resource	depletion	7
581	relationship	corporate	social	9
582	full	range	style	6
583	relationship	identify	antecedent	3
584	social	comparison	theory	3
585	reflect	process	preclude	3
586	evaluation	individual	earn	3
587	equity	social	comparison	3
588	leader	provide	information	3
589	sensemaking	activity	participant	3
590	domain	discourse	call	3
591	trait	related	intelligence	3
592	relationship	development	formation	3
593	basis	generate	knowledge	3
594	state	affect	member	3
595	pure	pursue	program	3
596	process	make	meaning	3
597	relational	network	enact	3
598	hunt	multiple	influence	3
599	approach	entity	individual	3
600	process	authentic	leader	4
601	role	bound	consistent	3
602	normative	attitude	behavior	3
603	nurse	interpretive	style	3
604	researcher	enter	situation	3
605	understanding	relational	leadership	6
606	executive	job	demand	3
607	refer	extent	follower	3
608	imply	leader	transference	3
609	person	leadership	relational	3
610	methodology	assume	relation	3
611	fact	reveal	reality	3
612	information	team	member	3
613	identification	technology	supply	4
614	maintain	predic	relationship	3
615	collective	team	identification	23
616	view	underlying	mechanism	3
617	empowerment	mediate	relationship	9
618	relational	collective	function	3
619	social	responsibility	engagement	4
620	perception	cognition	individual	3
621	social	relation	leadership	3
622	responsibility	corporate	social	8
623	leadership	description	questionnaire	13
624	masculinity	intelligence	strength	4
625	emphasis	flexibility	high	7
626	attempt	explain	leader	3
627	structure	model	interaction	3
628	member	democratic	leadership	5
629	member	exchange	vertical	3
630	require	shift	think	3
631	characteristic	complex	adaptive	3
632	collectivity	perception	relational	3
633	hold	knowledge	innovative	4
634	state	university	approach	3
635	leader	collaborator	leadership	3
636	perceive	leader	consistent	3
637	subject	participant	encourage	3
638	truth	clear	separation	3
639	action	develop	change	3
640	leader	expand	broader	3
641	hollander	leader	participant	3
642	environment	know	individual	3
643	management	organization	direct	3
644	team	functional	heterogeneity	7
645	relative	approach	discussion	3
646	difference	relational	leadership	3
647	occupational	health	approach	3
648	leader	create	positive	3
649	identify	network	theory	3
650	negative	outcome	situation	3
651	behavior	perceive	lens	3
652	extent	leadership	role	4
653	constructionist	approach	examine	3
654	analysis	support	hypothesize	3
655	share	experience	time	3
656	characteristic	outcome	leader	4
657	investigation	relational	leadership	3
658	leader	personal	describe	3
659	group	organization	society	6
660	dynamic	combination	interact	3
661	example	intend	illustrate	3
662	suggest	neuroticism	locus	3
663	moderate	factor	relationship	3
664	member	identify	group	9
665	encourage	future	researcher	4
666	decision	support	context	4
667	management	practice	manufacturing	3
668	assign	safety	priority	14
669	explicit	implicit	corporate	3
670	theory	extension	network	3
671	principalship	develop	country	24
672	mind	heart	spirit	3
673	purpose	leader	collaborator	3
674	employee	expect	perform	3
675	physiological	security	social	4
676	display	strongest	relationship	3
677	people	produce	unfold	3
678	balance	theory	concept	3
679	dyad	research	relational	3
680	examine	antecedent	knowledge	3
681	define	high	conjunction	4
682	collaborative	motive	depend	3
683	rest	heart	rate	3
684	unfold	maintain	context	3
685	form	function	dynamic	4
686	action	related	term	5
687	historical	process	combine	3
688	leadership	compare	approach	3
689	closeness	centrality	betweenness	4
690	attribution	leader	motive	5
691	high	relationship	leader	3
692	innovation	organizational	climate	3
693	breaking	frame	move	3
694	leader	effective	ineffective	3
695	positivist	view	approach	3
696	definition	creativity	innovation	4
697	multiple	member	team	3
698	leader	appeal	follower	6
699	competency	profile	successful	3
700	top	management	team	44
701	network	identify	link	3
702	relational	purpose	discussion	3
703	follower	attitude	behavior	6
704	view	individual	relationship	3
705	emotion	leader	signal	4
706	social	category	relational	3
707	job	context	mediate	3
708	act	express	confidence	3
709	view	multiple	analysis	3
710	combination	anonymity	group	4
711	competence	commitment	leader	6
712	house	explain	specific	3
713	leader	perceive	subordinate	3
714	normative	informational	influence	4
715	identification	social	identity	18
716	development	formation	role	3
717	function	region	need	3
718	encourage	appropriate	environment	3
719	lie	philosophical	underpinnings	3
720	behavior	describe	work	3
721	approach	leader	behavioral	3
722	cynicism	intention	quit	8
723	subject	project	create	3
724	leadership	perception	activation	5
725	related	person	organization	4
726	appear	concerned	description	3
727	distance	uncertainty	avoidance	7
728	establish	clear	rule	3
729	leadership	relational	situate	4
730	knowledge	share	intention	19
731	view	knowledge	construct	3
732	strong	tie	relationship	4
733	individual	member	collective	3
734	woman	man	lead	4
735	leadership	practice	supervisor	3
736	theory	middle	manager	3
737	reward	punishment	administer	3
738	anxious	ambivalent	leader	16
739	intend	reflect	purpose	3
740	leader	manage	high	6
741	pay	attention	role	3
742	safety	behaviour	measure	3
743	reaction	theoretical	framework	3
744	relation	organization	design	3
745	knowledge	technology	transfer	7
746	research	program	country	6
747	relational	approach	offer	3
748	value	guide	work	3
749	relationship	construct	focus	3
750	resource	planning	implementation	6
751	demographic	homogeneity	group	3
752	desire	describe	model	3
753	suggest	structure	predicate	3
754	leadership	enable	team	3
755	employee	organizational	citizenship	5
756	cultural	historical	process	12
757	demographic	informational	diversity	3
758	affect	follower	identification	3
759	relationship	leader	stress	4
760	environmental	context	dynamic	3
761	productivity	theoretical	framework	3
762	subordinate	exchange	leadership	3
763	high	task	relationship	7
764	relationship	subject	produce	3
765	gender	role	influence	3
766	favorability	leader	factor	5
767	emerge	operate	contend	3
768	operate	larger	context	3
769	mediate	moderate	relationship	5
770	view	approach	relationship	3
771	learn	organization	empower	3
772	concept	receive	attention	3
773	leadership	practice	basic	3
774	approach	creativity	empowerment	3
775	organization	system	action	3
776	web	build	ongoing	3
777	theory	leadership	offer	3
778	capture	relational	understanding	3
779	individual	member	team	3
780	organizational	reality	decision	3
781	organization	search	trait	3
782	characteristic	organization	culture	3
783	unfold	involve	complex	3
784	process	consider	approach	3
785	perception	middle	manager	3
786	construct	participant	observer	3
787	leader	engage	behavior	15
788	management	leadership	development	13
789	view	organization	system	4
790	time	group	development	3
791	generalize	reciprocity	relationship	5
792	work	people	process	3
793	tacit	knowledge	share	7
794	entity	view	leadership	3
795	serve	formation	leader	3
796	managerial	leader	investigate	3
797	principal	structural	position	10
798	high	involvement	culture	3
799	relationship	bring	theory	3
800	repertoire	recombination	model	3
801	help	subordinate	grow	5
802	media	radical	feminism	3
803	participation	cooperation	reward	3
804	underlying	emphasis	approach	3
805	emotion	influence	individual	3
806	integrative	theory	leadership	5
807	examine	direct	relationship	4
808	multiple	meaning	approach	3
809	change	place	leadership	3
810	exhaustion	job	burnout	3
811	social	identity	analysis	20
812	consultation	subordinate	group	3
813	association	research	library	5
814	researcher	receive	exposure	3
815	influence	characteristic	working	4
816	fellow	group	member	9
817	member	feel	safe	3
818	race	leadership	perception	7
819	way	advance	learn	3
820	value	social	identity	3
821	weak	situation	strong	4
822	historical	social	coordinate	3
823	university	michigan	state	20
824	identity	theory	leadership	25
825	manage	serve	basis	3
826	administrative	leadership	assessment	3
827	school	improvement	group	8
828	people	social	construction	3
829	organizational	climate	culture	5
830	align	approach	explain	3
831	approach	leadership	social	3
832	transformational	leadership	state	3
833	depth	snapshot	longitudinal	3
834	leader	essential	point	3
835	individual	leader	remove	3
836	distinct	complementary	approach	3
837	strong	investigate	process	3
838	leader	inspirational	skill	3
839	member	organization	share	3
840	process	theory	leadership	4
841	assume	relation	focus	3
842	collect	single	point	3
843	questionnaire	yukl	managerial	3
844	identify	way	advance	3
845	term	leader	manager	3
846	subordinate	grow	succeed	4
847	strong	positive	association	5
848	exemplary	set	relationship	4
849	willing	accept	responsibility	5
850	identify	react	leader	3
851	small	medium	enterprise	35
852	organization	bring	people	4
853	ego	network	relational	3
854	influence	leadership	perception	9
855	role	make	examine	3
856	follower	rating	leader	12
857	moderator	friendship	opportunity	3
858	style	relational	concept	3
859	perceive	feedback	cost	6
860	leader	people	work	3
861	context	leadership	enact	4
862	motivation	content	issue	3
863	formulation	theory	understand	3
864	theory	describe	relationship	3
865	coordination	evolve	social	7
866	firm	innovation	organizational	3
867	approach	methodology	part	3
868	teacher	sole	responsibility	3
869	personal	loyal	experience	3
870	department	organization	hold	3
871	component	set	expectation	4
872	psychological	theory	interdependence	3
873	special	issue	dansereau	3
874	welfare	express	appreciation	5
875	leader	provide	support	8
876	approach	social	identity	4
877	change	value	attitude	7
878	individual	enter	organization	3
879	nature	subordinate	vulnerability	6
880	social	identity	require	3
881	high	assign	safety	5
882	prototypical	leader	represent	3
883	focus	understanding	role	3
884	term	theory	practice	3
885	introduce	notion	suggest	3
886	related	interpersonal	characteristic	8
887	high	job	demand	21
888	relationship	construct	local	3
889	greater	depth	snapshot	3
890	develop	questionnaire	measure	4
891	dachler	hosking	subject	3
892	reliable	information	group	3
893	interest	greater	good	4
894	management	leadership	role	3
895	modern	discourse	leadership	3
896	direction	focus	emotion	3
897	style	group	member	5
898	develop	unfold	maintain	3
899	work	influence	group	5
900	provide	social	support	3
901	genuine	leadership	development	3
902	attain	focus	leader	3
903	social	represent	difference	3
904	action	individual	leader	4
905	social	category	perception	3
906	turn	relationship	development	3
907	member	perceive	leader	5
908	lead	group	people	3
909	leader	process	outcome	4
910	approach	relational	leadership	4
911	strict	dichotomy	advocate	3
912	individual	group	work	3
913	theory	approach	methodology	3
914	social	responsibility	propose	3
915	mission	expect	behavior	4
916	moderator	contingent	satisfaction	5
917	support	behavior	create	3
918	communication	symbol	metaphor	3
919	development	explore	individual	3
920	process	move	call	3
921	extent	emotion	mediate	3
922	gross	domestic	product	10
923	favorable	unfavorable	situation	3
924	hold	formal	position	3
925	identify	relationship	people	4
926	reflect	integrity	ability	4
927	positive	psychological	resource	5
928	hollander	scholar	adopt	3
929	mobilize	motivation	course	4
930	risk	follower	idea	3
931	learn	organization	develop	3
932	culture	power	distance	4
933	cognitive	model	empowerment	4
934	future	century	need	3
935	control	behavior	follower	3
936	relationality	organizational	relational	3
937	school	improvement	project	4
938	innovation	related	outcome	3
939	communication	medium	social	3
940	constructive	ongoing	process	3
941	task	person	oriented	8
942	environment	relationship	organization	3
943	fundamental	spiritual	survival	3
944	relationship	nationality	educational	4
945	expand	leadership	capacity	3
946	regeneration	increase	engagement	11
947	objective	subjective	data	3
948	consideration	initial	structure	3
949	describe	process	locate	3
950	difference	set	strict	3
951	team	member	understand	3
952	socialize	personalize	develop	3
953	reality	examine	process	3
954	leader	safety	behaviour	3
955	social	learning	process	4
956	extent	appeal	aesthetic	3
957	leadership	profile	successful	6
958	leader	contribute	kind	3
959	build	maintain	predic	3
960	sense	respect	array	3
961	citizenship	behavior	examine	3
962	high	tash	behavior	3
963	follower	reach	moderate	3
964	follower	group	member	5
965	indicator	leader	ability	3
966	moderate	relationship	nationality	4
967	dispersion	team	member	3
968	establish	strong	relationship	3
969	shape	interaction	compare	3
970	enhance	understanding	social	3
971	entity	people	environment	3
972	media	moderate	relationship	3
973	behaviour	beneficial	organization	3
974	focus	leadership	shift	3
975	real	reflect	mutual	7
976	work	family	conflict	6
977	product	development	effort	3
978	dimension	description	questionnaire	3
979	high	school	operate	5
980	leader	identification	follower	3
981	leadership	influence	relationship	9
982	consideration	measure	leadership	3
983	dimension	leader	demographic	4
984	production	center	employee	3
985	leader	perceive	relationship	3
986	approach	professional	development	5
987	manager	human	resource	31
988	interaction	leader	behavior	3
989	influence	process	involve	4
990	expectation	standard	performance	3
991	organization	practice	combine	3
992	enter	situation	open	3
993	share	network	leadership	4
994	negative	way	theorize	3
995	engage	full	person	4
996	contribution	performance	improvement	3
997	offer	contrary	relational	3
998	observe	positive	association	3
999	persuasion	consultation	coalition	3
1000	set	expectation	listen	7
1001	feel	organization	value	3
1002	generation	testing	proposition	3
1003	organizational	environmental	context	4
1004	leader	gender	congruent	3
1005	overlap	leadership	construct	7
1006	report	greater	anxiety	3
1007	high	competence	commitment	6
1008	require	direct	communication	3
1009	previous	substitute	model	3
1010	evolve	develop	unfold	3
1011	contribute	team	member	3
1012	accident	emergency	department	3
1013	leader	diverse	group	3
1014	leader	demonstrate	behavior	4
1015	conduct	follower	communication	4
1016	citizenship	behavior	measure	3
1017	follower	centric	approach	7
1018	identification	enable	intra	4
1019	reframe	generate	organizational	3
1020	structure	social	interdependence	3
