	gram_1	gram_2	Freq
351	high	large	3
352	evaluation	regulation	3
353	ineffective	leadership	4
354	people	skill	4
355	size	statistic	10
356	gain	control	5
357	scientific	evidence	3
358	explain	approach	3
359	larger	school	3
360	consideration	moderator	3
361	extrinsic	career	5
362	behavior	perception	29
363	category	theory	8
364	maintain	strong	5
365	structuring	benefit	3
366	teacher	actualization	3
367	previous	testing	3
368	ethical	contribution	3
369	identification	subordinate	4
370	ability	focus	4
371	high	cooperation	3
372	student	engagement	5
373	individual	maintain	6
374	term	formal	4
375	original	definition	3
376	conceptual	basis	4
377	introduction	background	7
378	follower	aggrandizement	3
379	high	teacher	3
380	identification	internalization	7
381	situation	work	5
382	job	develop	5
383	operate	contend	3
384	management	characteristic	8
385	predictor	group	15
386	develop	specific	8
387	innovative	solution	5
388	consensus	theory	3
389	predict	rating	7
390	provide	model	6
391	job	superior	3
392	focus	technical	3
393	active	leader	4
394	role	facilitate	5
395	leader	originate	3
396	manager	charge	4
397	leave	nurse	4
398	salient	member	3
399	description	basic	3
400	influence	response	3
401	supportive	define	3
402	lose	reality	3
403	daily	interaction	3
404	responsibility	member	3
405	people	management	13
406	theory	organization	17
407	purpose	focus	3
408	report	group	6
409	increase	pressure	4
410	effort	subordinate	4
411	think	entity	3
412	leader	idea	5
413	temporal	separation	3
414	delegation	consistency	3
415	represent	effort	4
416	leadership	carry	5
417	financial	report	3
418	personalize	relation	3
419	effective	engage	3
420	difference	close	9
421	operational	activity	4
422	identify	model	9
423	leader	assertive	9
424	war	feminine	3
425	encourage	action	3
426	follower	accept	12
427	host	country	4
428	group	employee	12
429	react	problem	3
430	interest	overall	3
431	time	remember	3
432	successful	practice	4
433	talent	ability	3
434	decrease	negative	8
435	group	engagement	6
436	factor	situation	6
437	competence	personal	3
438	environment	require	8
439	ethical	action	3
440	outcome	leadership	32
441	fitness	leadership	3
442	role	stressor	3
443	attempt	relate	3
444	leader	optimistic	3
445	create	influence	5
446	responsibility	lead	8
447	symbolic	sociological	6
448	interest	expectation	4
449	conduct	laboratory	5
450	context	framework	3
451	alcohol	consumption	31
452	black	white	4
453	effort	integrate	3
454	outcome	draw	4
455	relation	high	5
456	outcome	note	4
457	support	original	3
458	model	basis	4
459	linkage	leadership	4
460	attitude	task	5
461	performance	comparison	4
462	woman	participation	3
463	relationship	framework	3
464	proposition	follower	5
465	trust	intimacy	3
466	enhance	influence	3
467	group	preference	3
468	leader	people	31
469	stress	burnout	14
470	technique	require	3
471	individual	motivated	11
472	member	centrality	10
473	autocratic	group	4
474	greater	focus	3
475	stronger	subordinate	5
476	function	individual	7
477	represent	domain	3
478	stress	identify	3
479	multiple	relationship	4
480	organization	suffer	3
481	determine	relative	10
482	rely	subjective	4
483	leader	inauthentic	4
484	organization	follow	4
485	bond	follower	3
486	characteristic	dyad	12
487	partner	relationship	3
488	psychology	group	3
489	small	depend	3
490	social	characteristic	3
491	organization	kind	4
492	time	event	4
493	leader	tie	4
494	expand	role	5
495	subordinate	indifference	6
496	extent	depend	3
497	apply	situation	5
498	moderation	reward	7
499	share	tacit	10
500	member	relative	7
501	anonymity	expect	3
502	impose	group	4
503	culture	argue	4
504	language	english	4
505	model	empirical	4
506	family	social	3
507	target	perceiver	4
508	service	work	5
509	relevance	context	5
510	function	strategic	3
511	facilitate	creativity	3
512	leader	irrelevant	3
513	emerge	entity	3
514	mediator	relationship	14
515	relationship	inherent	3
516	value	expect	5
517	stakeholder	need	3
518	realize	benefit	6
519	receive	attention	56
520	develop	proposition	9
521	dimension	team	7
522	positive	efect	9
523	develop	appropriate	3
524	discuss	key	3
525	identity	process	15
526	trust	leader	72
527	reflect	desire	3
528	approach	attribution	4
529	individual	employee	5
530	require	shift	4
531	idea	supportive	3
532	operationalize	methodology	3
533	organize	structure	3
534	lord	hall	5
535	house	colleague	4
536	basis	performance	4
537	foster	commitment	6
538	support	previous	11
539	behavior	differentiate	3
540	department	role	3
541	growth	change	3
542	sociological	symbolic	10
543	favorableness	situation	3
544	identification	increase	3
545	persist	effort	3
546	distinction	lead	4
547	control	situation	11
548	person	believe	5
549	contrary	theory	3
550	employee	human	12
551	reconcile	conflict	3
552	follower	turn	7
553	problem	require	7
554	trust	individual	6
555	process	advance	4
556	social	approval	6
557	mediate	mechanism	14
558	attitude	performance	9
559	need	design	3
560	majority	empirical	3
561	factor	emphasize	3
562	reflect	social	4
563	identify	problem	9
564	influence	high	4
565	attitude	produce	3
566	leader	leverage	4
567	high	tolerance	3
568	analysis	work	4
569	subordinate	lack	7
570	organization	safety	3
571	theory	behavior	12
572	relational	social	10
573	team	examine	10
574	affective	drive	3
575	relationship	contribute	5
576	operation	process	3
577	relation	positive	4
578	performance	moderate	6
579	leader	mood	4
580	form	influence	8
581	examination	trust	4
582	critical	contribution	3
583	style	vary	4
584	regard	safety	4
585	questionnaire	evidence	3
586	practice	process	3
587	objective	leadership	6
588	share	improve	3
589	professional	growth	6
590	effort	increase	8
591	multiple	form	6
592	report	lowe	4
593	allow	participant	3
594	establish	structure	4
595	strong	team	3
596	relationship	position	3
597	trait	extroversion	6
598	build	term	4
599	respective	organization	4
600	interaction	involve	5
601	account	behavior	3
602	comment	argument	7
603	interest	stakeholder	3
604	allow	greater	3
605	characteristic	productivity	3
606	behavior	nature	5
607	manager	oriented	3
608	effort	benefit	3
609	lead	person	7
610	personal	conflict	3
611	member	organizational	4
612	capability	team	3
613	dynamic	multi	3
614	skill	set	3
615	action	target	3
616	leadership	series	3
617	benefit	greater	5
618	effective	control	4
619	bass	stogdill	4
620	trustworthiness	trust	8
621	model	leadership	11
622	source	report	4
623	team	trust	3
624	core	principle	7
625	link	share	3
626	high	task	28
627	report	model	4
628	market	product	4
629	function	group	11
630	action	avoid	3
631	organisation	organisational	5
632	person	event	4
633	experiment	need	4
634	influence	dynamic	7
635	intention	report	4
636	term	ability	4
637	phenomena	interdependent	3
638	network	structure	15
639	model	draw	9
640	event	process	7
641	approach	report	3
642	model	note	6
643	information	extent	3
644	suggestion	recommend	3
645	service	product	7
646	idea	process	7
647	system	model	6
648	create	family	6
649	ability	capable	3
650	focus	follower	23
651	event	place	5
652	personal	trait	10
653	library	science	15
654	inspire	confidence	3
655	overlap	argue	3
656	subject	positive	3
657	organization	manage	6
658	suggest	manager	13
659	researcher	develop	7
660	model	manager	7
661	behavior	multiple	3
662	sociocultural	dimension	11
663	work	achieve	8
664	create	future	3
665	increase	theory	4
666	work	define	15
667	share	distribute	3
668	approach	recognize	7
669	project	organization	4
670	hold	term	7
671	light	trait	3
672	environment	business	5
673	talk	work	6
674	achieve	involve	3
675	intrinsic	job	3
676	subunit	organization	5
677	subordinate	determine	3
678	relationship	subsequent	3
679	future	direction	21
680	people	follower	5
681	process	call	7
682	majority	leadership	7
683	serve	mentor	4
684	prefer	style	6
685	idea	information	4
686	potential	event	3
687	emphaseze	characteristic	3
688	team	commander	3
689	focus	effort	6
690	model	attempt	7
691	role	event	4
692	reality	focus	4
693	hierarchy	need	4
694	role	principal	9
695	organization	fact	10
696	approach	advance	3
697	culture	weak	3
698	group	examine	8
699	investigation	need	5
700	behavioral	depersonalization	3
701	people	involved	5
702	value	project	3
703	average	human	5
704	data	available	7
705	incomplete	knowledge	3
706	final	conclusion	3
707	empowerment	related	8
708	rhetorical	skill	9
709	leader	accept	17
710	methodological	issue	6
711	manufacturing	setting	4
712	support	association	3
713	leadership	grow	7
714	sense	identification	3
715	characteristic	contribute	6
716	consideration	initial	3
717	process	employee	7
718	leader	fight	3
719	authority	decision	5
720	member	conceive	3
721	theory	person	9
722	culture	cultural	4
723	accept	member	5
724	follower	feel	19
725	high	performance	59
726	communication	skill	21
727	leadership	cover	3
728	behavioral	interaction	3
729	report	bullying	7
730	employee	welfare	4
731	identity	individual	14
732	shamir	theory	3
733	high	identify	3
734	extent	proposition	3
735	identification	technology	45
736	emphasis	relationship	6
737	improve	student	7
738	masculine	term	3
739	association	style	3
740	section	provide	3
741	accord	house	5
742	landholder	benefit	3
743	manager	mediate	3
744	willingness	risk	4
745	avoid	negative	7
746	content	structure	5
747	progress	develop	5
748	way	view	4
749	principal	leadership	6
750	follower	respect	7
751	link	reward	4
752	contribute	organization	12
753	theoretical	background	16
754	construct	reason	4
755	argue	reduce	3
756	difference	model	7
757	relationship	criterion	8
758	support	attention	4
759	culture	traditional	3
760	embed	collective	3
761	reveal	behavior	3
762	model	valid	3
763	change	expectation	5
764	related	theory	8
765	control	setting	3
766	implement	system	3
767	behavior	unit	7
768	align	team	4
769	report	problem	3
770	supervisor	support	6
771	factor	transactional	4
772	ability	deliver	3
773	clarify	direction	3
774	evolve	school	3
775	media	moderate	5
776	relation	performance	7
777	prove	effective	8
778	culture	emphasize	12
779	section	process	3
780	relation	identify	4
781	lose	credibility	3
782	status	leader	7
783	influence	task	6
784	participation	support	4
785	involve	view	4
786	contextual	nature	3
787	building	model	3
788	military	organization	3
789	define	provide	4
790	member	contact	6
791	prior	experience	5
792	cognitive	categorization	8
793	socialize	achieve	5
794	individual	examine	4
795	beneficial	employee	3
796	autonomy	support	8
797	depend	reaction	4
798	leadership	demonstrate	11
799	larger	life	10
800	specific	attribution	3
801	refer	behavior	7
802	organization	member	53
803	behavior	critical	6
804	value	culture	6
805	decision	acceptance	9
806	represent	team	6
807	positive	increase	4
808	environment	power	4
809	predict	specific	3
810	main	property	5
811	mother	woman	3
812	organization	help	3
813	sacrifice	suffer	3
814	event	leader	8
815	approach	call	8
816	measure	knowledge	4
817	attempt	measure	5
818	challenge	employee	4
819	organizational	identity	10
820	criterion	leader	10
821	employee	argue	4
822	produce	hear	3
823	sacrifice	benefit	13
824	reciprocity	characterize	5
825	related	work	9
826	trait	intelligence	9
827	form	corporate	6
828	identify	basic	4
829	school	student	8
830	leader	turn	14
831	management	customer	3
832	positive	benefit	3
833	expend	effort	6
834	signal	leadership	3
835	distinction	construct	3
836	offer	leadership	3
837	numerous	theory	3
838	enable	identification	3
839	desire	maintain	3
840	event	individual	6
841	organization	lead	13
842	accomplishment	tangible	3
843	individual	implicit	5
844	criterion	individual	3
845	theory	compilational	4
846	individual	trust	7
847	discussion	support	4
848	intense	emotion	3
849	set	leadership	12
850	argue	knowledge	5
851	approach	employee	9
852	performance	follower	21
853	recognize	gap	3
854	relationship	narcissism	6
855	cross	situational	6
856	appropriate	response	5
857	behavior	guide	3
858	religious	value	3
859	century	need	3
860	future	investigate	9
861	make	suggestion	3
862	powerful	performance	3
863	organization	short	4
864	team	outline	3
865	religious	social	3
866	favor	leadership	6
867	societal	development	4
868	intend	reflect	3
869	follower	leadership	21
870	effort	reward	3
871	measure	model	16
872	fitting	model	3
873	task	lead	5
874	style	member	5
875	member	understand	4
876	influence	performance	32
877	effort	development	3
878	commitment	organization	28
879	identity	group	22
880	span	factor	4
881	large	power	13
882	identify	link	4
883	reflect	employee	5
884	position	compare	3
885	model	authentic	3
886	lead	require	4
887	rational	persuasion	16
888	extension	leadership	3
889	social	contract	11
890	breakdown	differentiation	3
891	problem	challenge	5
892	performance	effort	6
893	power	perception	6
894	relationship	comprise	4
895	individual	naive	3
896	difference	problem	3
897	opportunity	subordinate	4
898	esteem	need	4
899	success	personal	3
900	partner	advocate	3
901	risk	follower	5
902	collective	identity	4
903	personal	matter	3
904	increase	job	12
905	fellow	member	6
906	time	organizational	4
907	provide	context	10
908	research	organizational	3
909	style	lead	7
910	authentic	relationship	4
911	developmental	match	3
912	observe	association	3
913	social	utility	4
914	business	performance	11
915	leader	successful	23
916	perceive	consistent	3
917	control	directive	9
918	gender	race	9
919	achievement	gain	3
920	search	excellence	4
921	develop	provide	5
922	reason	leadership	5
923	expect	provide	3
924	characteristic	company	5
925	similarity	member	3
926	emphasis	role	5
927	organization	homogeneity	3
928	stage	life	3
929	workplace	creativity	4
930	vary	term	5
931	culture	practice	6
932	direct	attention	9
933	leader	objective	3
934	further	investigation	3
935	environmental	influence	6
936	burnout	follower	4
937	enable	productive	4
938	surround	conceptual	3
939	hypothesize	direction	3
940	value	role	7
941	consistency	outcome	3
942	competence	determination	7
943	engage	work	11
944	anticipate	outcome	3
945	section	leader	3
946	reinforce	leader	5
947	group	choice	3
948	organization	extent	3
949	label	measure	5
950	entity	researcher	3
951	measure	define	4
952	sense	construe	3
953	reason	manager	3
954	related	product	5
955	context	key	3
956	ability	task	4
957	culture	climate	6
958	most	researcher	8
959	state	government	3
960	dimension	leadership	43
961	measure	bullying	7
962	develop	process	8
963	demonstrate	knowledge	3
964	apply	multiple	3
965	relationship	key	4
966	position	variation	3
967	cognitive	component	8
968	contribute	relationship	3
969	process	examine	7
970	leadership	dimension	56
971	follower	way	3
972	value	compare	4
973	interest	influence	6
974	adopt	approach	18
975	multiple	data	6
976	independent	relationship	6
977	propose	attribution	4
978	determine	style	6
979	empirical	theory	13
980	group	phenomenon	9
981	image	consistent	4
982	search	rule	3
983	measure	distinct	3
984	desire	employee	4
985	supervisor	student	15
986	argue	define	3
987	instrument	provide	3
988	depend	kind	5
989	increase	proportion	3
990	dimension	manager	5
991	unique	information	6
992	idea	group	8
993	way	change	3
994	appealing	follower	5
995	define	leader	18
996	organization	innovative	5
997	related	job	8
998	team	network	5
999	leader	collective	8
1000	passive	active	5
1001	safety	procedure	6
1002	experience	strengthen	3
1003	follower	create	12
1004	need	competence	3
1005	leader	life	11
1006	honesty	humility	3
1007	illustrate	point	6
1008	involve	greater	5
1009	organizational	creativity	5
1010	personal	dominance	5
1011	measurement	technique	3
1012	examine	member	4
1013	appropriate	high	3
1014	additive	relationship	3
1015	leadership	interact	7
1016	size	analysis	3
1017	offer	promise	4
1018	approach	contemporary	3
1019	value	accord	4
1020	norm	performance	3
1021	define	individual	14
1022	supervisory	behaviour	11
1023	specific	morphology	3
1024	perception	follower	16
1025	compliance	behavior	10
1026	ordinary	people	3
1027	synchrony	transmission	3
1028	citizenship	behaviour	8
1029	teacher	sole	3
1030	aim	provide	8
1031	colleague	focus	4
1032	propose	enhance	4
1033	behavior	limit	4
1034	employee	cultural	3
1035	effective	build	3
1036	high	maturity	16
1037	behavior	desirable	4
1038	generate	overall	3
1039	theory	consideration	3
1040	explore	nature	4
1041	ceo	leadership	9
1042	culture	nurture	3
1043	role	ability	3
1044	theory	interaction	4
1045	program	model	4
1046	greater	relative	3
1047	trait	perceive	4
1048	interactionist	positivist	3
1049	autonomy	improve	3
1050	personal	benefit	7
1051	author	leadership	3
1052	situation	convey	3
1053	benefit	approach	6
1054	create	skill	3
1055	ability	evoke	4
1056	leadership	researcher	70
1057	factor	critical	3
1058	observer	bullying	5
1059	ability	produce	3
1060	leave	open	4
1061	construct	primary	3
1062	close	action	4
1063	leadership	evidence	9
1064	leader	discuss	11
1065	seek	create	3
1066	theory	learn	4
1067	constitute	main	3
1068	ceo	manager	3
1069	increase	need	5
1070	aggressive	behavior	6
1071	theory	avolio	3
1072	focus	team	13
1073	culture	structure	4
1074	component	construct	4
1075	organizational	independence	7
1076	customer	satisfaction	8
1077	colleague	refer	3
1078	relationship	connection	5
1079	experimental	context	4
1080	knowledge	lean	4
1081	fiedler	contend	3
1082	collective	organizational	6
1083	perceive	volatility	4
1084	process	single	3
1085	lack	woman	3
1086	positive	reward	4
1087	motivate	perform	3
1088	communication	symbol	3
1089	experience	knowledge	10
1090	assess	individual	5
1091	solving	task	4
1092	coach	provide	4
1093	conduct	large	3
1094	bass	demonstrate	3
1095	people	team	3
1096	term	style	6
1097	conflict	reduce	5
1098	commitment	relationship	5
1099	establish	previous	4
1100	potential	organizational	6
1101	leadership	personal	6
1102	consistent	contribution	4
1103	upper	echelon	25
1104	individual	respondent	4
1105	employee	cynicism	10
1106	individual	encounter	6
1107	role	organizational	25
1108	imply	leadership	5
1109	attention	follower	10
1110	willingness	perform	3
1111	exit	behavior	3
1112	approach	examine	27
1113	occupational	accident	3
1114	employee	rating	4
1115	leadership	introduction	7
1116	ideological	moral	3
1117	network	ego	3
1118	intend	human	6
1119	answer	questionnaire	4
1120	rule	procedure	19
1121	ability	communicate	5
1122	subordinate	support	5
1123	issue	discuss	8
1124	process	highlight	4
1125	leadership	se	11
1126	social	change	7
1127	group	network	12
1128	role	clarification	11
1129	management	theorist	7
1130	outcome	decision	3
1131	team	finding	4
1132	mature	leader	3
1133	definition	problem	3
1134	opportunity	investigation	3
1135	power	structure	6
1136	change	lead	3
1137	leader	independent	7
1138	make	follower	6
1139	internalize	commitment	3
1140	persuade	adopt	3
1141	symbolic	emotion	4
1142	emphasis	interaction	3
1143	group	lower	3
1144	personal	safety	3
1145	subscale	multifactor	6
1146	imply	manager	4
1147	performance	school	3
1148	conduct	formal	3
1149	develop	leader	8
1150	neuroticism	extraversion	7
1151	individual	bonding	3
1152	formal	organisational	3
1153	expect	leader	31
1154	stakeholder	approach	6
1155	follower	give	6
1156	theory	factor	6
1157	historical	approach	6
1158	member	perception	25
1159	arrive	situation	3
1160	empower	decision	3
1161	suggest	moderate	3
1162	practice	model	4
1163	relationship	partner	5
1164	system	context	3
1165	leader	dependent	3
1166	measure	aim	3
1167	factor	identification	3
1168	factor	assess	3
1169	extraverted	people	3
1170	approach	trust	8
1171	develop	individual	8
1172	clarification	assessment	5
1173	understanding	underlying	3
1174	expect	individual	13
1175	follower	appeal	4
1176	leader	autocratic	8
1177	time	understand	3
1178	value	subordinate	6
1179	interdependency	organization	4
1180	approach	symbolic	5
1181	related	need	3
1182	make	effort	6
1183	consistency	electronic	5
1184	stressful	task	5
1185	define	activity	3
1186	count	leadership	3
1187	salient	trust	3
1188	account	factor	6
1189	leader	care	10
1190	work	perceive	3
1191	work	available	3
1192	fitness	implication	4
1193	process	relate	10
1194	trait	inference	3
1195	deal	crisis	3
1196	group	encourage	3
1197	explicit	knowledge	20
1198	theory	explain	35
1199	emerge	organization	4
1200	turnover	productivity	4
1201	independent	role	4
1202	draw	model	4
1203	leader	responsible	15
1204	organization	cost	3
1205	team	component	3
1206	reflect	trust	4
1207	statistical	power	3
1208	underlying	flexibility	4
1209	leadership	surprising	9
1210	care	teacher	3
1211	situate	specific	3
1212	house	theory	8
1213	developmental	psychology	3
1214	cohesion	performance	5
1215	desire	meet	4
1216	require	organizational	6
1217	respect	individual	7
1218	factor	rank	3
1219	success	analysis	3
1220	team	responsibility	5
1221	causal	attribution	9
1222	limit	characteristic	3
1223	leader	positive	37
1224	lack	opportunity	4
1225	agenda	future	7
1226	adult	learn	3
1227	high	stage	3
1228	follower	buy	3
1229	capture	knowledge	5
1230	member	determine	7
1231	feeling	reasoning	4
1232	work	empowerment	3
1233	insider	outsider	7
1234	culture	unit	3
1235	integration	scope	3
1236	appropriate	task	3
1237	view	property	4
1238	congruence	concept	3
1239	theory	gender	3
1240	management	behavior	8
1241	firm	prior	3
1242	subordinate	position	4
1243	task	compliance	3
1244	rule	guideline	4
1245	term	organize	3
1246	group	finding	5
1247	factor	first	5
1248	climate	environment	3
1249	represent	leadership	18
1250	explicit	model	4
1251	coordinate	adopt	3
1252	assess	group	6
1253	incorporate	content	5
1254	hall	press	3
1255	student	mention	3
1256	skill	expertise	12
1257	lesson	learn	9
1258	think	behavior	3
1259	member	experience	13
1260	reflect	commander	3
1261	support	demonstrate	3
1262	approach	highlight	10
1263	appear	concerned	3
1264	people	shape	3
1265	theory	characterize	4
1266	group	participate	6
1267	time	situation	15
1268	motivational	affective	7
1269	action	reward	3
1270	process	transformation	6
1271	process	outline	3
1272	activity	lead	4
1273	approach	further	4
1274	encourage	subordinate	9
1275	process	sequence	5
1276	leadership	impossible	4
1277	report	theory	3
1278	link	employee	7
1279	average	rating	3
1280	academic	outcome	3
1281	multi	framework	3
1282	critical	role	19
1283	model	consistency	3
1284	leadership	lean	5
1285	life	individual	6
1286	policy	maker	12
1287	factor	country	3
1288	leadership	determinant	6
1289	emotion	neglect	3
1290	fight	flight	3
1291	family	conflict	6
1292	express	stronger	4
1293	performance	team	35
1294	high	relation	4
1295	influence	attitude	12
1296	man	event	3
1297	open	mind	3
1298	reduce	eliminate	3
1299	biological	sex	4
1300	difference	score	7
1301	notion	job	4
1302	practice	problem	3
1303	phenomena	analysis	4
1304	answer	characteristic	3
1305	disclose	information	4
1306	perceive	high	13
1307	skill	situation	3
1308	organization	realize	5
1309	sense	connection	6
1310	compositional	form	11
1311	lead	environment	3
1312	relational	phenomena	3
1313	depend	member	5
1314	empowerment	approach	5
1315	subject	distinguishable	3
1316	perception	school	5
1317	view	change	3
1318	maturity	high	3
